id	80d9227d-b41b-44eb-b230-cb1c14b5ee1a	30684606-b403-43ca-830f-05bc75ab7ac9
285550	1281.0	886.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	14.0	14.0
3640	14.0	4.0
3638	2864.0	4567.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1122.0	1699.0
100873313	0.0	0.0
3632	2044.0	2720.0
100873312	2.0	1.0
100873311	0.0	0.0
3633	838.0	758.0
100873318	0.0	5.0
3635	2111.0	1059.0
100873317	0.0	0.0
3636	4488.0	8140.0
100128771	23.0	43.0
100873316	1.0	2.0
100873315	0.0	0.0
100128766	2.0	2.0
3651	0.0	0.0
1	34.0	12.0
2	20361.0	82694.0
100873309	0.0	0.0
100873308	0.0	0.0
3	2.0	7.0
3641	24.0	5.0
100873303	0.0	0.0
9	234.0	420.0
3642	11.0	257.0
100873302	0.0	0.0
3643	8353.0	8526.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	19.0	8.0
100873307	0.0	0.0
3646	13398.0	17158.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	63.0	85.0
100873304	0.0	0.0
100873332	0.0	1.0
3660	2849.0	1895.0
100873331	0.0	0.0
3661	2655.0	2848.0
100873330	0.0	0.0
285577	0.0	0.0
3662	23.0	272.0
100128756	0.0	0.0
1000	228.0	96.0
3652	1097.0	1371.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	110.0	68.0
3654	4043.0	8862.0
100873334	1.0	0.0
3655	13095.0	9918.0
100873333	0.0	0.0
3656	296.0	507.0
100873339	0.0	0.0
3658	3571.0	3328.0
100873338	0.0	0.0
3659	1042.0	3535.0
100873337	0.0	0.0
3670	224.0	177.0
100873321	0.0	0.0
3671	2845.0	4371.0
100873320	0.0	0.0
3672	5779.0	4814.0
285588	0.0	1.0
3673	9074.0	1492.0
1011	0.0	0.0
1010	11.0	10.0
1008	8.0	191.0
1007	0.0	0.0
1006	225.0	1.0
1005	10.0	53.0
1004	142.0	168.0
1003	720.0	2333.0
1002	158.0	28.0
1001	1662.0	2811.0
3663	2513.0	332.0
100873325	0.0	0.0
3664	13001.0	7463.0
100873324	0.0	0.0
3665	381.0	1170.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	5654.0	11222.0
100873329	0.0	0.0
285590	2675.0	1790.0
100873328	0.0	0.0
3669	1157.0	1343.0
100873327	0.0	0.0
1009	1166.0	2860.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	6.0	2.0
728477	23.0	14.0
3680	1528.0	1239.0
3681	2.0	66.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	445.0	579.0
100873353	0.0	0.0
3683	137.0	1060.0
100873352	0.0	0.0
128710	709.0	499.0
3684	203.0	611.0
100873351	0.0	0.0
285512	46.0	72.0
1022	848.0	853.0
285513	139.0	621.0
1021	2399.0	2826.0
1020	873.0	763.0
440299	0.0	0.0
1019	2139.0	3270.0
128709	0.0	0.0
1018	14.0	20.0
1017	1024.0	1383.0
1016	4.0	0.0
1015	70.0	59.0
1014	307.0	2.0
1013	8.0	10.0
1012	449.0	540.0
116730	8.0	7.0
3674	96.0	17.0
100873358	0.0	0.0
3675	5099.0	4029.0
100873357	0.0	0.0
3676	120.0	536.0
100128731	7129.0	5340.0
100873356	0.0	0.0
3678	8076.0	10928.0
3679	2296.0	2660.0
100873359	0.0	0.0
728464	90.0	65.0
728463	39.0	48.0
100128725	0.0	0.0
3690	253.0	143.0
3691	10874.0	5405.0
100873343	0.0	0.0
3692	4642.0	4531.0
3693	11225.0	9704.0
285521	1188.0	1164.0
100873342	0.0	0.0
3694	2609.0	1466.0
100873341	0.0	0.0
3695	153.0	136.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	17.0	81.0
1032	164.0	233.0
285525	2.0	3.0
1031	770.0	403.0
285527	3147.0	3670.0
1030	385.0	678.0
728468	0.0	0.0
440288	90.0	173.0
1029	33.0	215.0
440295	60.0	103.0
1028	1066.0	1388.0
1027	3815.0	3259.0
1026	9447.0	25909.0
1025	3530.0	2852.0
1024	1155.0	626.0
3685	5755.0	11073.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	92.0	875.0
100873345	1.0	1.0
3688	31628.0	16047.0
100873344	1.0	0.0
3689	622.0	3369.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	1.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	11.0	4.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	0.0
728492	37.0	37.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	222.0	78.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	5.0
1043	21160.0	577.0
1041	3.0	0.0
1040	2992.0	3225.0
1039	1315.0	2292.0
1038	0.0	1.0
1036	11305.0	310.0
3696	5987.0	1827.0
3697	1.0	2.0
100873379	0.0	0.0
3698	5.0	7.0
100873378	0.0	0.0
3699	43.0	41.0
100873377	0.0	0.0
728486	7.0	0.0
100873361	0.0	0.0
105373869	44.0	18.0
100873360	0.0	0.0
285540	70.0	66.0
100128705	0.0	2.0
100873365	0.0	1.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	3.0	255.0
100873362	0.0	0.0
100128701	4.0	4.0
1054	1294.0	2201.0
285547	0.0	0.0
1053	2.0	1.0
285548	1.0	0.0
1052	2331.0	6641.0
1051	1915.0	3467.0
728489	11.0	23.0
1050	282.0	1519.0
100128707	0.0	0.0
1048	1.0	13.0
1047	91.0	2975.0
1046	9.0	0.0
1045	6.0	7.0
100873369	1.0	4.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	1.0
1066	930.0	924.0
1063	93.0	193.0
1062	69.0	166.0
1061	8.0	2.0
1060	1245.0	1478.0
440253	71.0	68.0
1059	5125.0	4130.0
1058	10.0	30.0
1057	4.0	3.0
85379	6981.0	3957.0
114112	518.0	603.0
1056	543.0	8.0
85377	5224.0	2101.0
85378	2000.0	3462.0
128745	0.0	0.0
85376	6.0	19.0
440248	54.0	126.0
1075	993.0	3068.0
1074	9.0	8.0
1073	4928.0	2621.0
1072	29369.0	36595.0
1071	7.0	75.0
440243	1.0	0.0
1070	805.0	511.0
1069	5356.0	2478.0
1068	0.0	0.0
85369	1670.0	3188.0
85366	103.0	1.0
85364	1636.0	1141.0
85365	4702.0	4279.0
85363	1954.0	2100.0
85360	1020.0	833.0
1080	305.0	1380.0
85391	2.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	566.0	387.0
1087	1.0	6.0
1086	2.0	0.0
440279	35.0	8.0
1085	0.0	0.0
1084	0.0	4.0
440278	115.0	55.0
1082	0.0	0.0
403294	0.0	0.0
440275	3623.0	6188.0
1081	238.0	45.0
85397	2.0	2.0
85395	435.0	459.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	12.0	3.0
440270	252.0	574.0
1089	0.0	9.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	51.0	210.0
285598	461.0	389.0
126133	2052.0	1580.0
128790	0.0	2.0
126129	177.0	169.0
126123	0.0	4.0
442862	0.0	0.0
126119	969.0	681.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	0.0	10.0
442897	0.0	0.0
442898	1.0	2.0
114134	241.0	599.0
442899	0.0	0.0
