id	b6fd2d99-73d8-4881-a03c-fdc3c47cbd12	f950e572-3faa-4ee3-ba56-da53e1476fa7
285550	720.0	1081.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	9.0	1.0
3640	9.0	22.0
3638	8016.0	14306.0
100873319	0.0	0.0
100873314	0.0	1.0
3630	0.0	0.0
3631	930.0	2488.0
100873313	0.0	0.0
3632	2498.0	2011.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	898.0	873.0
100873318	1.0	0.0
3635	1136.0	675.0
100873317	1.0	0.0
3636	5669.0	14400.0
100128771	33.0	39.0
100873316	4.0	7.0
100873315	0.0	0.0
100128766	1.0	5.0
3651	1.0	1.0
1	12.0	4.0
2	13065.0	36708.0
100873309	0.0	0.0
100873308	0.0	0.0
3	0.0	4.0
3641	0.0	0.0
100873303	0.0	0.0
9	462.0	944.0
3642	22.0	10.0
100873302	0.0	0.0
3643	7212.0	7719.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	30.0	6.0
100873307	0.0	0.0
3646	11429.0	17946.0
100873306	0.0	0.0
100873305	0.0	1.0
3647	57.0	48.0
100873304	1.0	0.0
100873332	1.0	1.0
3660	2500.0	2633.0
100873331	0.0	0.0
3661	2203.0	2376.0
100873330	0.0	0.0
285577	2.0	5.0
3662	104.0	26.0
100128756	0.0	0.0
1000	32.0	180.0
3652	820.0	1573.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	40.0	3.0
3654	7291.0	11707.0
100873334	0.0	0.0
3655	7876.0	8531.0
100873333	0.0	2.0
3656	731.0	453.0
100873339	0.0	0.0
3658	3251.0	10545.0
100873338	0.0	0.0
3659	2603.0	1084.0
100873337	0.0	0.0
3670	331.0	114.0
100873321	0.0	0.0
3671	1088.0	1906.0
100873320	0.0	0.0
3672	2922.0	5602.0
285588	1.0	0.0
3673	2400.0	1134.0
1011	0.0	5.0
1010	0.0	2.0
1008	57.0	39.0
1007	0.0	0.0
