id	a5f5e1b6-9947-442f-a106-9df71b3a2e75	619af800-bb88-4a0b-9a4b-0259a0f99ff3
285550	1420.0	1546.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	3.0	11.0
3640	10.0	7.0
3638	3622.0	2569.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	1.0	0.0
3631	1266.0	1153.0
100873313	0.0	0.0
3632	4419.0	2556.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	925.0	619.0
100873318	0.0	0.0
3635	1662.0	1094.0
100873317	0.0	0.0
3636	6112.0	7255.0
100128771	52.0	101.0
100873316	0.0	0.0
100873315	0.0	0.0
100128766	7.0	4.0
3651	0.0	0.0
1	8.0	4.0
2	63527.0	71897.0
100873309	0.0	0.0
100873308	0.0	0.0
3	10.0	3.0
3641	0.0	0.0
100873303	0.0	0.0
9	575.0	881.0
3642	51.0	740.0
100873302	0.0	0.0
3643	6242.0	7582.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	45.0	12.0
100873307	0.0	0.0
3646	15023.0	28241.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	135.0	81.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2513.0	2756.0
100873331	0.0	0.0
3661	2933.0	3554.0
100873330	0.0	0.0
285577	6.0	93.0
3662	21.0	45.0
100128756	0.0	0.0
1000	462.0	49.0
3652	741.0	1030.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	36.0	41.0
3654	3650.0	8267.0
100873334	0.0	0.0
3655	3681.0	9157.0
100873333	0.0	0.0
3656	293.0	490.0
100873339	0.0	0.0
3658	1726.0	2399.0
100873338	0.0	0.0
3659	2511.0	4914.0
100873337	0.0	0.0
3670	943.0	244.0
100873321	0.0	0.0
3671	7023.0	5180.0
100873320	0.0	0.0
3672	12607.0	6023.0
285588	0.0	0.0
3673	776.0	1879.0
1011	0.0	0.0
1010	9.0	2.0
1008	228.0	152.0
1007	1.0	0.0
1006	35.0	18.0
1005	87.0	256.0
1004	304.0	218.0
1003	1833.0	2292.0
1002	41.0	16.0
1001	4402.0	7332.0
3663	266.0	354.0
100873325	0.0	0.0
3664	6537.0	15511.0
100873324	0.0	0.0
3665	965.0	2372.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2689.0	4100.0
100873329	0.0	0.0
285590	3356.0	1604.0
100873328	0.0	0.0
3669	739.0	1095.0
100873327	0.0	0.0
1009	2932.0	3958.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	14.0	2.0
728477	4.0	4.0
3680	5050.0	1661.0
3681	0.0	3.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	663.0	772.0
100873353	0.0	0.0
3683	368.0	464.0
100873352	0.0	0.0
128710	368.0	732.0
3684	169.0	265.0
100873351	0.0	0.0
285512	72.0	45.0
1022	813.0	2310.0
285513	153.0	312.0
1021	1511.0	2455.0
1020	753.0	1410.0
440299	1.0	0.0
1019	2233.0	5450.0
128709	0.0	1.0
1018	20.0	12.0
1017	1127.0	1832.0
1016	23.0	3.0
1015	77.0	30.0
1014	5.0	0.0
1013	14.0	40.0
1012	320.0	1362.0
116730	27.0	31.0
3674	44.0	17.0
100873358	0.0	0.0
