id	81ef037f-28d3-4960-b814-37af7ff8f972	ecff0d66-7705-4671-9d00-99eced84c7d1
285550	1202.0	1155.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	14.0	14.0
3640	7.0	3.0
3638	10330.0	8507.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1273.0	968.0
100873313	0.0	0.0
3632	2185.0	1800.0
100873312	1.0	0.0
100873311	0.0	0.0
3633	883.0	697.0
100873318	0.0	0.0
3635	531.0	420.0
100873317	0.0	1.0
3636	5605.0	4148.0
100128771	53.0	151.0
100873316	1.0	1.0
100873315	0.0	0.0
100128766	2.0	1.0
3651	52.0	43.0
1	1.0	3.0
2	31163.0	26712.0
100873309	0.0	0.0
100873308	0.0	0.0
3	7.0	0.0
3641	0.0	0.0
100873303	0.0	0.0
9	501.0	475.0
3642	716.0	559.0
100873302	0.0	0.0
3643	4507.0	4157.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	4.0	2.0
100873307	0.0	0.0
3646	24222.0	20714.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	58.0	64.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	2300.0	1926.0
100873331	0.0	0.0
3661	2378.0	1790.0
100873330	0.0	0.0
285577	0.0	0.0
3662	78.0	61.0
100128756	0.0	0.0
1000	122.0	128.0
3652	1099.0	902.0
100873336	0.0	2.0
100873335	0.0	0.0
100128750	23.0	18.0
3654	10872.0	8251.0
100873334	1.0	0.0
3655	7378.0	6605.0
100873333	0.0	0.0
3656	439.0	361.0
100873339	0.0	0.0
3658	4321.0	3963.0
100873338	0.0	0.0
3659	2975.0	2417.0
100873337	0.0	0.0
3670	242.0	233.0
100873321	0.0	0.0
3671	2748.0	2187.0
100873320	0.0	0.0
3672	5315.0	4871.0
285588	0.0	1.0
3673	1678.0	1408.0
1011	0.0	0.0
1010	1.0	0.0
1008	419.0	354.0
1007	0.0	0.0
1006	14.0	13.0
1005	473.0	387.0
1004	89.0	115.0
1003	898.0	768.0
1002	25.0	13.0
1001	4896.0	3780.0
3663	287.0	232.0
100873325	0.0	1.0
3664	9514.0	7985.0
100873324	1.0	0.0
3665	2561.0	1753.0
100873323	0.0	0.0
100873322	0.0	1.0
3667	2879.0	2323.0
100873329	0.0	0.0
285590	1502.0	1285.0
100873328	0.0	1.0
3669	438.0	377.0
100873327	0.0	0.0
1009	4266.0	3667.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	35.0	19.0
728477	4.0	5.0
3680	1155.0	1005.0
3681	11.0	5.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	688.0	647.0
100873353	0.0	0.0
3683	391.0	315.0
100873352	0.0	0.0
128710	573.0	570.0
3684	368.0	272.0
100873351	0.0	0.0
285512	76.0	46.0
1022	1510.0	1332.0
285513	250.0	216.0
1021	1298.0	1300.0
1020	862.0	735.0
440299	2.0	1.0
1019	5818.0	4503.0
128709	0.0	0.0
1018	39.0	22.0
1017	1985.0	1592.0
1016	0.0	1.0
1015	429.0	350.0
1014	1.0	3.0
1013	13.0	5.0
1012	1320.0	1091.0
116730	12.0	31.0
3674	21.0	8.0
100873358	0.0	0.0
3675	5788.0	4465.0
100873357	0.0	0.0
3676	355.0	317.0
100128731	5569.0	5993.0
100873356	0.0	0.0
3678	7734.0	5924.0
3679	3098.0	2352.0
100873359	0.0	0.0
728464	57.0	51.0
728463	71.0	59.0
100128725	0.0	0.0
3690	177.0	164.0
3691	7795.0	5718.0
100873343	0.0	1.0
3692	6284.0	4819.0
3693	8172.0	6179.0
285521	1833.0	1316.0
100873342	0.0	0.0
3694	1206.0	1061.0
100873341	0.0	0.0
3695	105.0	81.0
100873340	0.0	0.0
100128723	1.0	3.0
1033	621.0	462.0
1032	279.0	210.0
285525	1.0	0.0
1031	709.0	543.0
285527	3686.0	3288.0
1030	546.0	413.0
728468	1.0	0.0
440288	161.0	133.0
1029	149.0	130.0
440295	242.0	192.0
1028	1438.0	1015.0
1027	4523.0	3516.0
1026	4432.0	3372.0
1025	2627.0	1893.0
1024	977.0	818.0
3685	10304.0	9156.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	351.0	299.0
100873345	0.0	1.0
3688	22035.0	17551.0
100873344	0.0	0.0
3689	1967.0	1370.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	9.0	5.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	62.0	45.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	51.0	57.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	0.0
1043	247.0	264.0
1041	1.0	0.0
1040	2513.0	2224.0
1039	1762.0	1456.0
1038	0.0	0.0
1036	86.0	72.0
3696	2472.0	2335.0
3697	2.0	0.0
100873379	0.0	0.0
3698	11.0	15.0
100873378	0.0	0.0
3699	91.0	68.0
100873377	0.0	0.0
728486	8.0	5.0
100873361	0.0	1.0
105373869	2.0	5.0
100873360	0.0	0.0
285540	68.0	85.0
100128705	5.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	189.0	179.0
100873362	0.0	0.0
100128701	1.0	8.0
1054	2155.0	1825.0
285547	0.0	0.0
1053	2.0	0.0
285548	1.0	0.0
1052	3174.0	2223.0
1051	1585.0	1436.0
728489	12.0	3.0
1050	1743.0	1061.0
100128707	0.0	0.0
1048	127.0	89.0
1047	1332.0	1306.0
1046	0.0	0.0
1045	9.0	9.0
100873369	3.0	1.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	1859.0	1423.0
1063	1951.0	1844.0
1062	776.0	701.0
1061	3.0	5.0
1060	1143.0	1044.0
440253	55.0	38.0
1059	4251.0	3372.0
1058	259.0	232.0
1057	0.0	0.0
85379	4832.0	4141.0
114112	625.0	548.0
1056	17.0	3.0
85377	1983.0	1604.0
85378	3304.0	2423.0
128745	0.0	0.0
85376	2.0	3.0
440248	439.0	344.0
1075	1536.0	1265.0
1074	54.0	42.0
1073	2967.0	2687.0
1072	39380.0	33154.0
1071	14.0	8.0
440243	0.0	0.0
1070	891.0	855.0
1069	2352.0	2195.0
1068	0.0	0.0
85369	1788.0	1354.0
85366	12.0	7.0
85364	1234.0	968.0
85365	2311.0	1990.0
85363	2258.0	1917.0
85360	797.0	535.0
1080	2410.0	2059.0
85391	84.0	146.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	1158.0	1168.0
1087	4.0	6.0
1086	0.0	0.0
440279	9.0	7.0
1085	0.0	0.0
1084	7.0	6.0
440278	264.0	280.0
1082	0.0	0.0
403294	0.0	0.0
440275	8299.0	7218.0
1081	8.0	1.0
85397	5.0	5.0
85395	624.0	467.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	1.0
1092	0.0	0.0
440270	227.0	222.0
1089	10.0	5.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	28.0	33.0
285598	293.0	221.0
126133	2075.0	1307.0
128790	0.0	0.0
126129	134.0	99.0
126123	10.0	8.0
442862	0.0	0.0
126119	781.0	458.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	2.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	11.0	11.0
442896	1.0	0.0
114132	8.0	9.0
442897	0.0	0.0
442898	0.0	2.0
114134	301.0	249.0
442899	0.0	0.0
100128790	0.0	0.0
128760	7.0	4.0
100128788	122.0	107.0
100128787	0.0	0.0
440225	0.0	0.0
440224	4.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	1.0
128756	0.0	0.0
100128782	431.0	266.0
100128781	1.0	0.0
403230	0.0	0.0
403231	0.0	1.0
403232	0.0	0.0
645560	1.0	5.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	49.0	51.0
102466616	0.0	0.0
126052	1.0	0.0
151009	66.0	56.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	0.0
645572	0.0	0.0
645571	2.0	1.0
403223	1.0	1.0
403224	0.0	0.0
403226	0.0	0.0
200634	3230.0	2406.0
107131122	0.0	1.0
138050	6996.0	5668.0
403219	0.0	0.0
151011	2893.0	2629.0
645587	0.0	0.0
165679	1167.0	1085.0
126037	67.0	53.0
114049	4622.0	3533.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	1.0
106481483	0.0	0.0
85315	325.0	257.0
100033821	1.0	4.0
106481488	0.0	0.0
100033822	1.0	1.0
106481489	0.0	0.0
85313	1610.0	1450.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	407.0	301.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	9.0	15.0
645598	1.0	0.0
163007	1.0	0.0
114038	1.0	0.0
645591	1.0	0.0
106481495	0.0	0.0
114041	18.0	7.0
106481496	0.0	0.0
114042	1.0	2.0
106481493	0.0	0.0
114043	2.0	3.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	244.0	177.0
126017	1683.0	1490.0
106481497	0.0	0.0
106481498	1.0	0.0
85303	0.0	0.0
85300	189.0	145.0
85301	1455.0	1025.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
