id	15e656ea-3229-42eb-be95-379527324b54	d0c8d150-3582-406e-af39-fd58f6e53290
285550	2009.0	1424.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	17.0	9.0
3640	7.0	4.0
3638	5203.0	2357.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	4.0	0.0
3631	1517.0	879.0
100873313	0.0	0.0
3632	4564.0	3501.0
100873312	5.0	4.0
100873311	0.0	0.0
3633	756.0	424.0
100873318	1.0	0.0
3635	709.0	361.0
100873317	0.0	0.0
3636	6985.0	6207.0
100128771	47.0	81.0
100873316	1.0	1.0
100873315	0.0	0.0
100128766	4.0	1.0
3651	0.0	0.0
1	7.0	3.0
2	47694.0	14039.0
100873309	0.0	0.0
100873308	0.0	0.0
3	6.0	1.0
3641	0.0	0.0
100873303	0.0	0.0
9	901.0	923.0
3642	1384.0	20.0
100873302	0.0	0.0
3643	12085.0	5219.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	2.0	1.0
100873307	0.0	0.0
3646	41241.0	22056.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	47.0	62.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	3570.0	2485.0
100873331	0.0	0.0
3661	2424.0	2576.0
100873330	0.0	0.0
285577	0.0	7.0
3662	58.0	49.0
100128756	0.0	0.0
1000	226.0	347.0
3652	797.0	1015.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	110.0	56.0
3654	10418.0	9768.0
100873334	0.0	0.0
3655	4283.0	5695.0
100873333	0.0	0.0
3656	300.0	280.0
100873339	0.0	0.0
3658	2466.0	2786.0
100873338	0.0	0.0
3659	3219.0	3143.0
100873337	0.0	0.0
3670	667.0	245.0
100873321	0.0	0.0
3671	5083.0	1326.0
100873320	0.0	0.0
3672	12159.0	2729.0
285588	0.0	0.0
3673	1251.0	1094.0
1011	0.0	0.0
1010	1.0	8.0
1008	122.0	32.0
1007	0.0	0.0
1006	3.0	7.0
1005	128.0	89.0
1004	88.0	35.0
1003	854.0	566.0
1002	80.0	27.0
1001	3880.0	3126.0
3663	375.0	308.0
100873325	0.0	0.0
3664	11788.0	8177.0
100873324	0.0	0.0
3665	1332.0	2993.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	6756.0	5027.0
100873329	0.0	0.0
285590	2331.0	961.0
100873328	0.0	0.0
3669	1382.0	1928.0
100873327	0.0	0.0
1009	3952.0	756.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	2.0
728477	12.0	11.0
3680	2257.0	722.0
3681	9.0	18.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	441.0	742.0
100873353	0.0	0.0
3683	282.0	241.0
100873352	0.0	1.0
128710	853.0	401.0
3684	293.0	190.0
100873351	0.0	0.0
285512	44.0	66.0
1022	1955.0	1802.0
285513	215.0	182.0
1021	11241.0	2266.0
1020	1341.0	1038.0
440299	0.0	1.0
1019	4256.0	4105.0
128709	0.0	0.0
1018	9.0	31.0
1017	1371.0	1643.0
1016	1.0	2.0
1015	47.0	36.0
1014	2.0	2.0
1013	14.0	26.0
1012	814.0	383.0
116730	26.0	18.0
3674	4.0	23.0
100873358	0.0	0.0
3675	5309.0	3026.0
100873357	1.0	1.0
3676	192.0	96.0
100128731	10072.0	8944.0
100873356	0.0	0.0
3678	24017.0	6991.0
3679	5462.0	1651.0
100873359	0.0	0.0
728464	140.0	36.0
728463	63.0	22.0
100128725	0.0	0.0
3690	363.0	122.0
3691	5456.0	3746.0
100873343	0.0	0.0
3692	10507.0	9705.0
3693	9392.0	11317.0
285521	1896.0	1484.0
100873342	0.0	0.0
3694	1354.0	467.0
100873341	0.0	0.0
3695	53.0	26.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	162.0	77.0
1032	407.0	175.0
285525	0.0	0.0
1031	1811.0	392.0
285527	2300.0	2297.0
1030	742.0	312.0
728468	0.0	0.0
440288	172.0	131.0
1029	1228.0	188.0
440295	149.0	122.0
1028	988.0	865.0
1027	4147.0	3584.0
1026	5848.0	11450.0
1025	3460.0	3135.0
1024	1480.0	1067.0
3685	6926.0	6222.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	219.0	299.0
100873345	1.0	0.0
3688	18411.0	8444.0
100873344	0.0	0.0
3689	1301.0	1182.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	1.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	5.0	10.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	30.0	43.0
100873375	0.0	0.0
100128710	0.0	5.0
285533	164.0	78.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	3.0
1043	402.0	292.0
1041	0.0	1.0
1040	2533.0	3449.0
1039	3414.0	1842.0
1038	2.0	0.0
1036	250.0	158.0
3696	2799.0	862.0
3697	3.0	0.0
100873379	0.0	0.0
3698	17.0	9.0
100873378	1.0	0.0
3699	88.0	15.0
100873377	0.0	0.0
728486	2.0	3.0
100873361	0.0	0.0
105373869	6.0	0.0
100873360	0.0	0.0
285540	71.0	55.0
100128705	0.0	4.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	9.0	740.0
100873362	0.0	0.0
100128701	3.0	0.0
1054	3205.0	3071.0
285547	0.0	0.0
1053	2.0	3.0
285548	6.0	0.0
1052	12706.0	17719.0
1051	3689.0	2609.0
728489	3.0	20.0
1050	2150.0	1285.0
100128707	0.0	0.0
1048	20.0	6.0
1047	8155.0	3599.0
1046	0.0	0.0
1045	3.0	44.0
100873369	2.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	2764.0	618.0
1063	841.0	138.0
1062	155.0	85.0
1061	4.0	1.0
1060	1340.0	1071.0
440253	68.0	52.0
1059	6436.0	6574.0
1058	175.0	22.0
1057	0.0	0.0
85379	4873.0	3167.0
114112	786.0	467.0
1056	30.0	12.0
85377	2850.0	1707.0
85378	1717.0	2344.0
128745	0.0	0.0
85376	7.0	2.0
440248	297.0	354.0
1075	1123.0	1452.0
1074	7.0	30.0
1073	8383.0	3923.0
1072	53358.0	56690.0
1071	34.0	49.0
440243	0.0	0.0
1070	602.0	684.0
1069	5622.0	4165.0
1068	3.0	0.0
85369	1339.0	2152.0
85366	1.0	6.0
85364	1727.0	1255.0
85365	3697.0	5364.0
85363	953.0	1430.0
85360	1315.0	444.0
1080	1243.0	511.0
85391	1.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	1668.0	693.0
