id	76a194e5-ba36-4e81-b0b4-6c22a69fe9b5	26b9d14a-da14-4062-8494-fb87b04e9d7b
285550	1110.0	1300.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	17.0	17.0
3640	14.0	4.0
3638	6406.0	7846.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2446.0	1827.0
100873313	0.0	0.0
3632	3484.0	3560.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	1893.0	1108.0
100873318	1.0	2.0
3635	3073.0	1517.0
100873317	0.0	0.0
3636	7259.0	9508.0
100128771	71.0	64.0
100873316	1.0	1.0
100873315	0.0	0.0
100128766	2.0	0.0
3651	0.0	1.0
1	11.0	4.0
2	63360.0	77606.0
100873309	0.0	0.0
100873308	0.0	0.0
3	10.0	5.0
3641	1.0	0.0
100873303	0.0	0.0
9	503.0	4950.0
3642	133.0	45.0
100873302	0.0	0.0
3643	9842.0	8547.0
100128764	1.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	69.0	28.0
100873307	0.0	0.0
3646	19277.0	23379.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	171.0	184.0
100873304	0.0	0.0
100873332	1.0	1.0
3660	3537.0	2892.0
100873331	0.0	0.0
3661	2645.0	2130.0
100873330	0.0	0.0
285577	2.0	0.0
3662	160.0	109.0
100128756	0.0	0.0
1000	2050.0	247.0
3652	1456.0	1718.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	99.0	51.0
3654	7163.0	17172.0
100873334	0.0	0.0
3655	14276.0	12426.0
100873333	1.0	0.0
3656	865.0	527.0
100873339	0.0	0.0
3658	5888.0	6385.0
100873338	0.0	0.0
3659	4588.0	1915.0
100873337	0.0	1.0
3670	1216.0	608.0
100873321	0.0	0.0
3671	6509.0	3567.0
100873320	0.0	0.0
3672	10865.0	7729.0
285588	2.0	0.0
3673	6477.0	3807.0
1011	0.0	0.0
1010	13.0	6.0
1008	345.0	310.0
1007	12.0	0.0
1006	95.0	23.0
1005	299.0	112.0
1004	624.0	239.0
1003	2626.0	1290.0
1002	101.0	44.0
1001	5587.0	3984.0
3663	815.0	510.0
100873325	0.0	0.0
3664	12775.0	16659.0
100873324	0.0	0.0
3665	1075.0	1114.0
100873323	0.0	0.0
100873322	0.0	1.0
3667	7920.0	8660.0
100873329	0.0	0.0
285590	5195.0	3361.0
100873328	0.0	0.0
3669	760.0	1891.0
100873327	0.0	0.0
1009	4973.0	3318.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	4.0
728477	17.0	46.0
3680	6464.0	2443.0
3681	17.0	26.0
100128733	0.0	1.0
