id	0622c348-1f05-4f21-8486-d5bb9399f7be	443da90b-2658-4864-aede-3dcea543cf74
285550	1339.0	668.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	5.0	8.0
3640	6.0	0.0
3638	7739.0	3478.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1106.0	483.0
100873313	0.0	0.0
3632	3937.0	1514.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	718.0	160.0
100873318	3.0	0.0
3635	1271.0	258.0
100873317	0.0	0.0
3636	5870.0	3943.0
100128771	67.0	96.0
100873316	2.0	0.0
100873315	0.0	0.0
100128766	3.0	0.0
3651	0.0	1.0
1	6.0	6.0
2	34300.0	17376.0
100873309	0.0	0.0
100873308	0.0	0.0
3	6.0	5.0
3641	0.0	0.0
100873303	0.0	0.0
9	825.0	792.0
3642	20.0	2.0
100873302	0.0	0.0
3643	6875.0	6384.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	269.0	4.0
100873307	0.0	0.0
3646	15249.0	10982.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	85.0	21.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	3201.0	1331.0
100873331	0.0	0.0
3661	3164.0	1530.0
100873330	0.0	0.0
285577	1.0	3.0
3662	33.0	5.0
100128756	0.0	0.0
1000	353.0	46.0
3652	627.0	406.0
100873336	1.0	0.0
100873335	1.0	1.0
100128750	45.0	5.0
3654	5266.0	3845.0
100873334	0.0	0.0
3655	6560.0	2215.0
100873333	0.0	0.0
3656	204.0	293.0
100873339	0.0	0.0
3658	1646.0	979.0
100873338	0.0	0.0
3659	1665.0	1033.0
100873337	0.0	0.0
3670	831.0	93.0
100873321	0.0	0.0
3671	6608.0	1613.0
100873320	0.0	0.0
3672	9371.0	1919.0
285588	0.0	0.0
3673	1283.0	282.0
1011	0.0	0.0
1010	19.0	0.0
1008	191.0	14.0
1007	0.0	0.0
1006	49.0	2.0
1005	153.0	60.0
1004	229.0	121.0
1003	904.0	1235.0
1002	576.0	14.0
1001	3741.0	845.0
3663	224.0	175.0
100873325	0.0	0.0
3664	10830.0	11689.0
100873324	0.0	0.0
3665	1369.0	1237.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	4031.0	682.0
100873329	0.0	0.0
285590	3978.0	534.0
100873328	0.0	0.0
3669	568.0	642.0
100873327	0.0	0.0
1009	1570.0	982.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	12.0	0.0
728477	3.0	3.0
3680	3394.0	536.0
3681	7.0	4.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	670.0	314.0
100873353	0.0	0.0
3683	344.0	80.0
100873352	0.0	0.0
128710	611.0	394.0
3684	210.0	84.0
100873351	0.0	0.0
285512	66.0	101.0
1022	1194.0	1050.0
285513	183.0	66.0
1021	1032.0	2190.0
1020	991.0	533.0
440299	0.0	0.0
1019	2386.0	851.0
128709	1.0	0.0
1018	12.0	13.0
1017	1231.0	527.0
1016	46.0	0.0
1015	91.0	4.0
1014	1.0	1.0
1013	3.0	7.0
1012	499.0	452.0
116730	31.0	46.0
3674	18.0	4.0
100873358	0.0	0.0
3675	8130.0	2544.0
100873357	0.0	0.0
3676	63.0	24.0
100128731	12081.0	7959.0
100873356	0.0	0.0
3678	31865.0	2742.0
3679	6512.0	720.0
100873359	0.0	0.0
728464	74.0	8.0
728463	30.0	3.0
100128725	1.0	0.0
3690	273.0	26.0
3691	8500.0	1575.0
100873343	0.0	0.0
3692	7064.0	4352.0
3693	10655.0	6323.0
285521	1416.0	833.0
100873342	0.0	0.0
3694	767.0	145.0
100873341	0.0	0.0
3695	35.0	6.0
100873340	0.0	0.0
100128723	0.0	1.0
1033	24.0	131.0
1032	407.0	179.0
285525	0.0	1.0
1031	870.0	806.0
285527	1856.0	837.0
1030	559.0	426.0
728468	0.0	0.0
440288	94.0	52.0
1029	96.0	242.0
440295	104.0	33.0
1028	2667.0	743.0
1027	3375.0	1490.0
1026	11319.0	4549.0
1025	4088.0	2574.0
1024	789.0	482.0
3685	4629.0	1886.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	171.0	222.0
100873345	0.0	1.0
3688	9456.0	3222.0
100873344	0.0	0.0
3689	1071.0	482.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	16.0	9.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	35.0	7.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	370.0	23.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	6.0	0.0
1043	427.0	151.0
1041	0.0	0.0
1040	2743.0	1618.0
1039	1844.0	1010.0
1038	0.0	0.0
1036	509.0	68.0
3696	2709.0	384.0
3697	2.0	0.0
100873379	0.0	0.0
3698	7.0	8.0
100873378	0.0	0.0
3699	110.0	63.0
100873377	0.0	0.0
728486	5.0	2.0
100873361	0.0	0.0
105373869	2.0	0.0
100873360	0.0	0.0
285540	207.0	114.0
100128705	2.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	133.0	34.0
100873362	0.0	0.0
100128701	1.0	5.0
1054	2199.0	1605.0
285547	1.0	0.0
1053	0.0	6.0
285548	13.0	19.0
1052	8926.0	2763.0
1051	5037.0	1589.0
728489	6.0	9.0
1050	714.0	1086.0
100128707	0.0	0.0
1048	22.0	11.0
1047	3359.0	4065.0
1046	0.0	0.0
1045	89.0	37.0
100873369	0.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	5365.0	619.0
1063	124.0	713.0
1062	72.0	185.0
1061	2.0	0.0
1060	1234.0	406.0
440253	87.0	13.0
1059	7263.0	4731.0
1058	13.0	118.0
1057	3.0	2.0
85379	4859.0	1486.0
114112	437.0	303.0
1056	365.0	26.0
85377	4152.0	1519.0
85378	2598.0	1571.0
128745	0.0	0.0
85376	7.0	0.0
440248	345.0	322.0
1075	1213.0	876.0
1074	17.0	8.0
1073	9585.0	1571.0
1072	47821.0	24298.0
1071	22.0	56.0
440243	0.0	0.0
1070	1042.0	563.0
1069	6049.0	2397.0
1068	0.0	0.0
85369	1913.0	1273.0
85366	4.0	8.0
85364	1718.0	1044.0
85365	2691.0	2982.0
85363	1207.0	483.0
85360	1939.0	370.0
1080	489.0	136.0
85391	2.0	5.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	2.0
153733	578.0	793.0
1087	10.0	0.0
1086	0.0	0.0
440279	3.0	2.0
1085	1.0	0.0
1084	4.0	3.0
440278	132.0	77.0
1082	0.0	1.0
403294	0.0	0.0
440275	3859.0	3362.0
1081	58.0	1.0
85397	3.0	2.0
85395	518.0	491.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	566.0	263.0
1089	16.0	2.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	124.0	90.0
285598	506.0	93.0
126133	1200.0	1118.0
128790	0.0	0.0
126129	295.0	72.0
126123	6.0	1.0
442862	0.0	0.0
126119	1012.0	749.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	13.0	0.0
442896	0.0	0.0
114132	16.0	3.0
442897	0.0	0.0
442898	4.0	0.0
114134	470.0	377.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	1.0
100128788	60.0	161.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	0.0	0.0
442892	0.0	0.0
128756	0.0	1.0
100128782	472.0	155.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	4.0	2.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	10.0	7.0
102466616	0.0	0.0
126052	0.0	0.0
151009	49.0	41.0
403227	0.0	0.0
403228	0.0	0.0
138046	53.0	2.0
645558	0.0	0.0
403229	0.0	0.0
645573	2.0	0.0
645572	0.0	0.0
645571	6.0	0.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2128.0	986.0
107131122	0.0	0.0
138050	7312.0	4713.0
403219	0.0	0.0
151011	2656.0	861.0
645587	1.0	1.0
165679	2682.0	534.0
126037	96.0	31.0
114049	5449.0	4455.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	3.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	1270.0	168.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	1765.0	819.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	138.0	184.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	12.0	3.0
645598	0.0	0.0
163007	0.0	1.0
114038	2.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	17.0	4.0
106481496	0.0	0.0
114042	4.0	4.0
106481493	0.0	0.0
114043	12.0	2.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	133.0	65.0
126017	1084.0	388.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	883.0	39.0
85301	1760.0	112.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	2341.0	2488.0
106481459	0.0	0.0
26994	7552.0	3558.0
106481457	3.0	1.0
26995	2435.0	2162.0
106481458	0.0	0.0
403271	0.0	0.0
26998	1.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	1947.0	1189.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	5.0	8.0
106481460	0.0	0.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2923.0	1668.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	1.0	0.0
138009	0.0	8.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
