id	f927688f-646f-466e-aeab-1d6eceda8d56	2cf39fef-9135-401a-a08e-ae5a7bf48ada
285550	1548.0	1165.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	19.0	9.0
3640	3.0	2.0
3638	20708.0	14233.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1850.0	875.0
100873313	0.0	0.0
3632	4274.0	3238.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	1265.0	601.0
100873318	1.0	2.0
3635	2930.0	484.0
100873317	0.0	0.0
3636	8041.0	6910.0
100128771	42.0	49.0
100873316	1.0	0.0
100873315	0.0	0.0
100128766	4.0	0.0
3651	0.0	0.0
1	14.0	3.0
2	142451.0	14703.0
100873309	0.0	0.0
100873308	0.0	0.0
3	15.0	0.0
3641	0.0	0.0
100873303	0.0	0.0
9	926.0	563.0
3642	38.0	210.0
100873302	0.0	0.0
3643	6558.0	5751.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	22.0	0.0
100873307	0.0	0.0
3646	22724.0	19207.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	182.0	73.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	2942.0	2048.0
100873331	0.0	0.0
3661	2236.0	1396.0
100873330	0.0	0.0
285577	3.0	64.0
3662	165.0	7.0
100128756	0.0	0.0
1000	836.0	74.0
3652	1489.0	1031.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	55.0	27.0
3654	7911.0	7581.0
100873334	0.0	0.0
3655	9743.0	8426.0
100873333	3.0	1.0
3656	502.0	202.0
100873339	0.0	0.0
3658	5195.0	4481.0
100873338	0.0	0.0
3659	2330.0	685.0
100873337	0.0	0.0
3670	499.0	282.0
100873321	0.0	0.0
3671	3476.0	1060.0
100873320	0.0	0.0
3672	13909.0	4209.0
285588	0.0	0.0
3673	3630.0	1760.0
1011	0.0	0.0
1010	5.0	4.0
1008	705.0	133.0
1007	0.0	0.0
1006	56.0	33.0
1005	95.0	405.0
1004	459.0	405.0
1003	2139.0	903.0
1002	18.0	34.0
1001	5955.0	3704.0
3663	372.0	171.0
100873325	0.0	0.0
3664	14216.0	10528.0
100873324	0.0	0.0
3665	768.0	899.0
100873323	1.0	0.0
100873322	0.0	0.0
3667	6288.0	4150.0
100873329	0.0	0.0
285590	5738.0	2194.0
100873328	0.0	0.0
3669	1054.0	553.0
100873327	0.0	0.0
1009	2183.0	984.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	2.0
728477	11.0	14.0
3680	5315.0	1571.0
3681	10.0	6.0
100128733	2.0	0.0
100873354	0.0	0.0
3682	923.0	597.0
100873353	1.0	0.0
3683	598.0	202.0
100873352	0.0	0.0
128710	621.0	620.0
3684	621.0	125.0
100873351	0.0	0.0
285512	61.0	47.0
1022	1469.0	1316.0
285513	434.0	106.0
1021	1990.0	2746.0
1020	883.0	869.0
440299	0.0	0.0
1019	3543.0	3495.0
128709	0.0	0.0
1018	22.0	17.0
1017	1415.0	1198.0
1016	39.0	16.0
1015	184.0	61.0
1014	0.0	1.0
1013	5.0	9.0
1012	1076.0	732.0
116730	10.0	10.0
3674	53.0	9.0
100873358	0.0	0.0
3675	7201.0	3947.0
100873357	1.0	0.0
3676	576.0	129.0
100128731	8146.0	6707.0
100873356	0.0	0.0
3678	17464.0	10021.0
3679	7315.0	2759.0
100873359	0.0	0.0
728464	201.0	56.0
728463	67.0	33.0
100128725	0.0	0.0
3690	451.0	202.0
3691	10714.0	6054.0
100873343	0.0	1.0
3692	5886.0	5624.0
3693	10324.0	13285.0
285521	1375.0	1267.0
100873342	0.0	0.0
3694	1235.0	403.0
100873341	0.0	0.0
3695	85.0	26.0
100873340	1.0	0.0
100128723	0.0	0.0
1033	38.0	60.0
1032	265.0	123.0
285525	4.0	0.0
1031	494.0	361.0
285527	4371.0	3594.0
1030	621.0	304.0
728468	0.0	0.0
440288	214.0	136.0
1029	31.0	154.0
440295	137.0	68.0
1028	2266.0	1260.0
1027	4684.0	4211.0
1026	9385.0	3541.0
1025	3085.0	2255.0
1024	900.0	662.0
3685	9037.0	7136.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	543.0	127.0
100873345	0.0	0.0
3688	30213.0	17680.0
100873344	0.0	0.0
3689	3663.0	946.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	17.0	7.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	57.0	39.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	180.0	66.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	1.0
1043	407.0	124.0
1041	0.0	0.0
1040	2690.0	2900.0
1039	2130.0	1129.0
1038	1.0	1.0
1036	699.0	1278.0
3696	2937.0	2213.0
3697	6.0	0.0
100873379	0.0	0.0
3698	2.0	7.0
100873378	0.0	2.0
3699	113.0	27.0
100873377	0.0	0.0
728486	16.0	1.0
100873361	0.0	0.0
105373869	4.0	1.0
100873360	0.0	0.0
285540	218.0	121.0
100128705	0.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	288.0	364.0
100873362	0.0	0.0
100128701	2.0	1.0
1054	2741.0	1848.0
285547	0.0	0.0
1053	4.0	1.0
285548	1.0	4.0
1052	4290.0	1404.0
1051	3783.0	787.0
728489	4.0	5.0
1050	842.0	939.0
100128707	1.0	0.0
1048	118.0	60.0
1047	5058.0	4832.0
1046	2.0	0.0
1045	1.0	6.0
100873369	2.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	2.0	0.0
1066	5905.0	1532.0
1063	192.0	361.0
1062	157.0	144.0
1061	4.0	6.0
1060	2576.0	1617.0
440253	154.0	50.0
1059	5469.0	4518.0
1058	13.0	29.0
1057	2.0	0.0
85379	6233.0	4437.0
114112	666.0	472.0
1056	163.0	42.0
85377	3659.0	2006.0
85378	2977.0	1960.0
128745	0.0	0.0
