id	9feb9cef-8d78-43c5-8760-2641bb539b48	90dcc0ac-a55e-4551-9573-022c10d1c0e1
285550	1016.0	1483.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	10.0	10.0
3640	1.0	3.0
3638	2047.0	7444.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	827.0	1556.0
100873313	0.0	1.0
3632	1170.0	3955.0
100873312	1.0	3.0
100873311	0.0	0.0
3633	934.0	801.0
100873318	0.0	1.0
3635	636.0	1226.0
100873317	0.0	0.0
3636	4992.0	10192.0
100128771	20.0	68.0
100873316	0.0	2.0
100873315	0.0	0.0
100128766	1.0	2.0
3651	0.0	0.0
1	34.0	12.0
2	6431.0	19286.0
100873309	0.0	0.0
100873308	0.0	0.0
3	1.0	11.0
3641	0.0	15.0
100873303	0.0	0.0
9	308.0	1107.0
3642	8.0	37.0
100873302	0.0	0.0
3643	6158.0	6584.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	7.0	38.0
100873307	1.0	0.0
3646	14344.0	19601.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	63.0	118.0
100873304	0.0	0.0
100873332	0.0	1.0
3660	2295.0	3086.0
100873331	0.0	0.0
3661	3650.0	4303.0
100873330	0.0	0.0
285577	0.0	3.0
3662	13.0	112.0
100128756	0.0	0.0
1000	126.0	824.0
3652	960.0	1313.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	69.0	77.0
3654	6096.0	12530.0
100873334	0.0	0.0
3655	14228.0	11383.0
100873333	0.0	0.0
3656	405.0	564.0
100873339	0.0	0.0
3658	2827.0	4270.0
100873338	0.0	0.0
3659	1728.0	2943.0
100873337	0.0	1.0
3670	199.0	520.0
100873321	0.0	0.0
3671	630.0	1948.0
100873320	0.0	0.0
3672	2551.0	2606.0
285588	0.0	0.0
3673	3556.0	2685.0
1011	0.0	0.0
1010	9.0	6.0
1008	2.0	81.0
1007	0.0	8.0
1006	97.0	26.0
1005	10.0	90.0
1004	18.0	94.0
1003	453.0	985.0
1002	91.0	74.0
1001	566.0	2780.0
3663	4961.0	413.0
100873325	0.0	1.0
3664	11204.0	12308.0
100873324	0.0	0.0
3665	807.0	3181.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2245.0	7110.0
100873329	0.0	0.0
285590	1279.0	2231.0
100873328	0.0	1.0
3669	3026.0	794.0
100873327	0.0	0.0
1009	404.0	983.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	6.0	3.0
728477	45.0	12.0
3680	1051.0	2726.0
3681	3.0	5.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	694.0	1029.0
100873353	0.0	0.0
3683	163.0	544.0
100873352	0.0	0.0
128710	404.0	656.0
3684	110.0	347.0
100873351	0.0	0.0
285512	79.0	281.0
1022	952.0	1382.0
285513	174.0	345.0
1021	1965.0	3228.0
1020	909.0	1229.0
440299	0.0	0.0
1019	2607.0	4661.0
128709	0.0	0.0
1018	27.0	63.0
1017	1523.0	1823.0
1016	6.0	7.0
1015	45.0	54.0
1014	922.0	0.0
1013	10.0	24.0
1012	171.0	1074.0
116730	5.0	14.0
3674	158.0	22.0
100873358	0.0	0.0
3675	5281.0	6151.0
100873357	0.0	1.0
3676	77.0	306.0
100128731	10157.0	10535.0
100873356	0.0	0.0
3678	6603.0	3175.0
3679	1361.0	2370.0
100873359	0.0	0.0
728464	33.0	50.0
728463	56.0	38.0
100128725	0.0	0.0
3690	224.0	121.0
3691	7907.0	9012.0
100873343	0.0	0.0
3692	6515.0	8334.0
3693	13770.0	13911.0
285521	1069.0	1556.0
100873342	0.0	0.0
3694	1806.0	1580.0
100873341	0.0	0.0
3695	182.0	147.0
100873340	0.0	0.0
100128723	1.0	1.0
1033	12.0	90.0
1032	227.0	367.0
285525	8.0	1.0
1031	604.0	478.0
285527	3683.0	4314.0
1030	335.0	555.0
728468	0.0	1.0
440288	109.0	239.0
1029	7.0	76.0
440295	98.0	271.0
1028	1170.0	2662.0
1027	4539.0	4730.0
1026	2757.0	8809.0
1025	4003.0	3831.0
1024	1512.0	899.0
3685	4837.0	6069.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	87.0	445.0
100873345	0.0	0.0
3688	23810.0	15542.0
100873344	0.0	1.0
3689	434.0	1585.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	13.0	13.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	35.0	45.0
100873375	0.0	0.0
100128710	2.0	0.0
285533	170.0	86.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	0.0	4.0
1043	4797.0	424.0
1041	3.0	1.0
1040	2482.0	3993.0
1039	2057.0	1343.0
1038	0.0	0.0
1036	19499.0	476.0
3696	2959.0	1677.0
3697	1.0	1.0
100873379	0.0	0.0
3698	8.0	9.0
100873378	3.0	2.0
3699	22.0	29.0
100873377	0.0	0.0
728486	0.0	5.0
100873361	0.0	0.0
105373869	62.0	0.0
100873360	0.0	0.0
285540	119.0	249.0
100128705	3.0	2.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	666.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	1837.0	2760.0
285547	0.0	0.0
1053	0.0	6.0
285548	1.0	1.0
1052	2146.0	10651.0
1051	2474.0	3182.0
728489	5.0	8.0
1050	413.0	2041.0
100128707	0.0	0.0
1048	0.0	116.0
1047	171.0	4335.0
1046	154.0	1.0
1045	3.0	58.0
100873369	9.0	2.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	208.0	562.0
1063	42.0	346.0
1062	43.0	182.0
1061	6.0	6.0
1060	1464.0	2059.0
440253	107.0	101.0
1059	6119.0	7499.0
1058	6.0	49.0
1057	3.0	2.0
85379	5200.0	7891.0
114112	488.0	692.0
1056	91.0	180.0
85377	5507.0	3859.0
85378	3135.0	5744.0
128745	0.0	0.0
85376	5.0	26.0
440248	357.0	683.0
1075	2422.0	1938.0
1074	4.0	15.0
1073	3037.0	2632.0
1072	27891.0	42598.0
1071	15.0	35.0
440243	0.0	0.0
1070	731.0	1084.0
1069	4176.0	3880.0
1068	0.0	0.0
85369	1783.0	3357.0
85366	11.0	1.0
85364	1586.0	1814.0
85365	7063.0	3767.0
85363	1873.0	2727.0
85360	683.0	850.0
1080	177.0	858.0
85391	4.0	16.0
403296	0.0	0.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
