id	b7aa2312-9946-4dc5-a844-7e1cf249e284	edc8824b-e337-47be-8f6e-9a7516e69df0
285550	1843.0	1244.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	3.0	3.0
3640	4.0	3.0
3638	4165.0	2036.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1000.0	469.0
100873313	0.0	0.0
3632	3213.0	1158.0
100873312	4.0	0.0
100873311	0.0	1.0
3633	508.0	189.0
100873318	1.0	0.0
3635	327.0	250.0
100873317	0.0	0.0
3636	5114.0	3296.0
100128771	44.0	149.0
100873316	1.0	1.0
100873315	0.0	0.0
100128766	0.0	6.0
3651	0.0	0.0
1	10.0	3.0
2	13091.0	12312.0
100873309	0.0	0.0
100873308	0.0	0.0
3	4.0	5.0
3641	0.0	0.0
100873303	0.0	0.0
9	51.0	37.0
3642	1676.0	524.0
100873302	0.0	0.0
3643	5572.0	5312.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	10.0	4.0
100873307	0.0	0.0
3646	20036.0	16766.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	54.0	25.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2386.0	1107.0
100873331	0.0	0.0
3661	1664.0	1395.0
100873330	0.0	0.0
285577	163.0	59.0
3662	29.0	11.0
100128756	0.0	0.0
1000	263.0	53.0
3652	816.0	438.0
100873336	0.0	2.0
100873335	0.0	0.0
100128750	27.0	19.0
3654	3686.0	2309.0
100873334	0.0	0.0
3655	3203.0	2401.0
100873333	0.0	1.0
3656	84.0	44.0
100873339	1.0	0.0
3658	2287.0	1551.0
100873338	0.0	0.0
3659	1489.0	1068.0
100873337	1.0	0.0
3670	235.0	146.0
100873321	0.0	0.0
3671	1018.0	896.0
100873320	0.0	0.0
3672	4650.0	1359.0
285588	0.0	0.0
3673	242.0	46.0
1011	0.0	0.0
1010	0.0	0.0
1008	597.0	262.0
1007	0.0	2.0
1006	1.0	2.0
1005	1176.0	831.0
1004	75.0	208.0
1003	486.0	954.0
1002	266.0	84.0
1001	671.0	385.0
3663	156.0	111.0
100873325	0.0	0.0
3664	6919.0	3848.0
100873324	0.0	0.0
3665	1730.0	1976.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	3232.0	1288.0
100873329	0.0	0.0
285590	1473.0	417.0
100873328	1.0	0.0
3669	927.0	988.0
100873327	0.0	0.0
1009	798.0	559.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	4.0	1.0
728477	6.0	0.0
3680	856.0	451.0
3681	2.0	3.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	623.0	554.0
100873353	0.0	0.0
3683	152.0	123.0
100873352	0.0	0.0
128710	1239.0	911.0
3684	66.0	26.0
100873351	0.0	0.0
285512	77.0	118.0
1022	1765.0	1416.0
285513	111.0	134.0
1021	493.0	267.0
1020	806.0	632.0
440299	0.0	0.0
1019	1590.0	588.0
128709	1.0	2.0
1018	18.0	15.0
1017	1507.0	606.0
1016	27.0	12.0
1015	43.0	12.0
1014	0.0	1.0
1013	8.0	31.0
1012	323.0	454.0
116730	16.0	102.0
3674	7.0	10.0
100873358	0.0	0.0
3675	2937.0	2282.0
100873357	1.0	4.0
3676	94.0	33.0
100128731	8250.0	10815.0
100873356	0.0	0.0
3678	3815.0	1354.0
3679	862.0	516.0
100873359	0.0	0.0
728464	35.0	9.0
728463	19.0	6.0
100128725	0.0	1.0
3690	43.0	29.0
3691	301.0	429.0
100873343	0.0	1.0
3692	4197.0	3405.0
3693	3991.0	3688.0
285521	1168.0	976.0
100873342	0.0	0.0
3694	8.0	5.0
100873341	0.0	0.0
3695	3.0	0.0
100873340	0.0	0.0
100128723	1.0	0.0
1033	183.0	52.0
1032	179.0	117.0
285525	0.0	1.0
1031	517.0	337.0
285527	2289.0	1757.0
1030	667.0	237.0
728468	1.0	0.0
440288	98.0	22.0
1029	152.0	71.0
440295	227.0	105.0
1028	779.0	448.0
1027	5014.0	2053.0
1026	7046.0	2131.0
1025	3545.0	3257.0
1024	1111.0	493.0
3685	5106.0	1810.0
100873347	1.0	0.0
100873346	0.0	0.0
3687	166.0	185.0
100873345	0.0	2.0
3688	8391.0	3223.0
100873344	0.0	0.0
3689	377.0	398.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	0.0
100873370	0.0	0.0
728498	5.0	3.0
100873376	1.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	73.0	18.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	51.0	21.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	10.0	4.0
1043	159.0	193.0
1041	0.0	0.0
1040	1177.0	1381.0
1039	1902.0	1254.0
1038	0.0	1.0
1036	212.0	44.0
3696	663.0	336.0
3697	1.0	1.0
100873379	0.0	0.0
3698	9.0	13.0
100873378	3.0	0.0
3699	20.0	23.0
100873377	0.0	0.0
728486	1.0	0.0
100873361	0.0	0.0
105373869	3.0	0.0
100873360	1.0	0.0
285540	88.0	134.0
100128705	0.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	42.0	5.0
100873362	0.0	0.0
100128701	1.0	7.0
1054	3203.0	2047.0
285547	0.0	0.0
1053	0.0	0.0
285548	12.0	27.0
1052	8416.0	4371.0
1051	3797.0	2075.0
728489	43.0	13.0
1050	541.0	425.0
100128707	0.0	0.0
1048	67.0	1.0
1047	2564.0	1317.0
1046	0.0	0.0
1045	2.0	6.0
100873369	0.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	1145.0	94.0
1063	1127.0	277.0
1062	303.0	57.0
1061	5.0	0.0
1060	903.0	550.0
440253	98.0	62.0
1059	3013.0	2901.0
1058	111.0	24.0
1057	0.0	3.0
85379	1238.0	750.0
114112	297.0	194.0
1056	28.0	17.0
85377	945.0	639.0
85378	1309.0	1072.0
128745	2.0	0.0
85376	3.0	2.0
440248	475.0	378.0
1075	960.0	1057.0
1074	45.0	5.0
1073	4999.0	1683.0
1072	32247.0	22683.0
1071	39.0	54.0
440243	0.0	0.0
1070	1423.0	981.0
1069	4789.0	3049.0
1068	0.0	0.0
85369	1404.0	1435.0
85366	1.0	4.0
85364	1442.0	1019.0
85365	3652.0	4662.0
85363	183.0	109.0
85360	401.0	286.0
1080	18.0	7.0
85391	22.0	13.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	1769.0	994.0
1087	5.0	0.0
1086	0.0	0.0
440279	1.0	0.0
1085	1.0	0.0
1084	0.0	0.0
440278	148.0	70.0
1082	0.0	0.0
403294	0.0	0.0
440275	5000.0	3333.0
1081	206.0	121.0
85397	0.0	1.0
85395	348.0	300.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	667.0	359.0
1089	2.0	10.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	63.0	70.0
285598	622.0	299.0
126133	1056.0	715.0
128790	0.0	0.0
126129	86.0	32.0
126123	1.0	0.0
442862	0.0	0.0
126119	688.0	482.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	40.0	6.0
442896	0.0	1.0
114132	5.0	7.0
442897	0.0	0.0
442898	0.0	0.0
114134	788.0	441.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	7.0
100128788	128.0	90.0
100128787	0.0	0.0
440225	0.0	0.0
440224	0.0	0.0
442890	0.0	0.0
442891	0.0	0.0
442892	3.0	0.0
128756	0.0	2.0
100128782	270.0	202.0
100128781	3.0	0.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	1.0
645560	2.0	3.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	6.0	3.0
102466616	0.0	0.0
126052	0.0	0.0
151009	69.0	25.0
403227	3.0	2.0
403228	0.0	0.0
138046	5.0	1.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	2.0
645572	0.0	0.0
645571	0.0	0.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	2151.0	3461.0
107131122	1.0	0.0
138050	5411.0	3443.0
403219	0.0	0.0
151011	2717.0	1237.0
645587	0.0	0.0
165679	1246.0	370.0
126037	36.0	38.0
114049	5378.0	3755.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	1.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	222.0	147.0
100033821	0.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2868.0	1483.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	205.0	175.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	3.0	2.0
645598	1.0	0.0
163007	2.0	0.0
114038	0.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	6.0	0.0
106481496	0.0	0.0
114042	16.0	10.0
106481493	0.0	0.0
114043	2.0	0.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	223.0	75.0
126017	701.0	462.0
106481497	0.0	0.0
106481498	0.0	0.0
85303	0.0	0.0
85300	75.0	12.0
85301	456.0	106.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	4484.0	4141.0
106481459	0.0	0.0
26994	11208.0	6048.0
106481457	7.0	2.0
26995	2157.0	1773.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	3968.0	1841.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	4.0	1.0
106481460	0.0	3.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3514.0	1874.0
106481467	0.0	0.0
106481464	0.0	1.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	8.0	1.0
106481472	0.0	0.0
106481477	1.0	1.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	4.0	6.0
106481470	0.0	0.0
403252	1.0	0.0
403253	0.0	1.0
403254	0.0	0.0
126070	760.0	413.0
403255	0.0	0.0
403256	0.0	1.0
403257	0.0	0.0
344471	47.0	20.0
106481437	0.0	0.0
26974	282.0	205.0
153657	89.0	24.0
106481438	0.0	0.0
106481435	2.0	0.0
26973	5611.0	2400.0
165631	17.0	9.0
106481436	0.0	0.0
26978	10.0	20.0
126075	1546.0	1733.0
106481439	0.0	0.0
403250	0.0	0.0
126074	235.0	187.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	1108.0	1953.0
106481444	2.0	1.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	809.0	759.0
85354	0.0	0.0
85352	193.0	30.0
403241	0.0	1.0
344462	0.0	8.0
403244	0.0	0.0
403245	0.0	0.0
153642	1793.0	1201.0
153643	92.0	8.0
403247	0.0	0.0
403248	0.0	0.0
26985	2758.0	1756.0
106481448	0.0	0.0
