id	8309be46-0342-49d9-b6f1-b2779eaaee9a	5ec72280-04a7-434f-bdee-5bcffe7bc83d
285550	1414.0	1185.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	10.0	6.0
3640	1.0	2.0
3638	2452.0	7642.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1011.0	735.0
100873313	0.0	0.0
3632	1937.0	2710.0
100873312	0.0	1.0
100873311	0.0	0.0
3633	1199.0	554.0
100873318	0.0	0.0
3635	541.0	1156.0
100873317	0.0	0.0
3636	6020.0	5314.0
100128771	31.0	50.0
100873316	3.0	0.0
100873315	0.0	0.0
100128766	0.0	0.0
3651	1.0	3.0
1	47.0	8.0
2	17082.0	18826.0
100873309	0.0	0.0
100873308	0.0	0.0
3	5.0	2.0
3641	0.0	0.0
100873303	0.0	0.0
9	256.0	373.0
3642	12.0	484.0
100873302	0.0	0.0
3643	6568.0	5936.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	8.0	16.0
100873307	0.0	0.0
3646	15453.0	21750.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	58.0	74.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	2862.0	2329.0
100873331	0.0	0.0
3661	3416.0	1950.0
100873330	0.0	0.0
285577	0.0	25.0
3662	12.0	99.0
100128756	0.0	0.0
1000	135.0	130.0
3652	1331.0	966.0
100873336	0.0	1.0
100873335	0.0	0.0
100128750	77.0	46.0
3654	6690.0	10247.0
100873334	1.0	0.0
3655	18442.0	7736.0
100873333	0.0	1.0
3656	168.0	426.0
100873339	0.0	0.0
3658	3481.0	3372.0
100873338	0.0	0.0
3659	1548.0	3108.0
100873337	0.0	0.0
3670	456.0	537.0
100873321	0.0	0.0
3671	2533.0	2119.0
100873320	0.0	0.0
3672	5024.0	2683.0
285588	0.0	0.0
3673	3744.0	2047.0
1011	0.0	0.0
1010	10.0	4.0
1008	10.0	80.0
1007	0.0	0.0
1006	190.0	11.0
1005	69.0	174.0
1004	132.0	227.0
1003	1278.0	607.0
1002	328.0	53.0
1001	1372.0	5198.0
3663	9430.0	419.0
100873325	0.0	0.0
3664	10816.0	10225.0
100873324	0.0	0.0
3665	612.0	1503.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2950.0	3522.0
100873329	0.0	0.0
285590	2270.0	1574.0
100873328	0.0	0.0
3669	1328.0	623.0
100873327	0.0	0.0
1009	848.0	1286.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	6.0	3.0
728477	40.0	7.0
3680	1663.0	946.0
3681	2.0	19.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	553.0	550.0
100873353	0.0	0.0
3683	96.0	738.0
100873352	0.0	0.0
128710	619.0	747.0
3684	126.0	254.0
100873351	0.0	0.0
285512	51.0	34.0
1022	954.0	1254.0
285513	170.0	271.0
1021	1358.0	983.0
1020	1109.0	900.0
440299	0.0	0.0
1019	2207.0	4090.0
128709	0.0	0.0
1018	20.0	9.0
1017	1288.0	1087.0
1016	46.0	8.0
1015	82.0	55.0
1014	224.0	0.0
1013	1.0	17.0
1012	303.0	651.0
116730	17.0	10.0
3674	78.0	14.0
100873358	0.0	0.0
3675	4755.0	5499.0
100873357	0.0	1.0
3676	114.0	349.0
100128731	7708.0	7344.0
100873356	0.0	0.0
3678	6096.0	1468.0
3679	2481.0	1054.0
100873359	0.0	0.0
728464	82.0	28.0
728463	32.0	17.0
100128725	0.0	0.0
3690	283.0	73.0
3691	8772.0	7165.0
100873343	0.0	0.0
3692	5001.0	5393.0
3693	12245.0	10192.0
285521	1322.0	1606.0
100873342	0.0	0.0
3694	1568.0	662.0
100873341	0.0	0.0
3695	110.0	111.0
100873340	0.0	0.0
100128723	7.0	1.0
1033	13.0	55.0
1032	148.0	179.0
285525	0.0	1.0
1031	937.0	338.0
285527	3753.0	2337.0
1030	220.0	524.0
728468	0.0	0.0
440288	155.0	174.0
1029	44.0	132.0
440295	141.0	65.0
1028	1340.0	1434.0
1027	5135.0	5214.0
1026	1981.0	3058.0
1025	4166.0	2440.0
1024	1448.0	719.0
3685	5798.0	6715.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	94.0	428.0
100873345	1.0	1.0
3688	26504.0	11050.0
100873344	0.0	0.0
3689	424.0	2391.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	6.0	5.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	46.0	32.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	129.0	34.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	2.0	2.0
1043	553.0	707.0
1041	0.0	0.0
1040	2884.0	2483.0
1039	1932.0	1069.0
1038	1.0	0.0
1036	17411.0	692.0
3696	5597.0	2023.0
3697	2.0	0.0
100873379	0.0	0.0
3698	8.0	1.0
100873378	1.0	0.0
3699	48.0	25.0
100873377	0.0	0.0
728486	1.0	5.0
100873361	0.0	0.0
105373869	96.0	4.0
100873360	0.0	0.0
285540	119.0	150.0
100128705	0.0	0.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	188.0
100873362	0.0	0.0
100128701	2.0	2.0
1054	1384.0	1669.0
285547	0.0	0.0
1053	5.0	4.0
285548	3.0	5.0
1052	867.0	3504.0
1051	1420.0	1341.0
728489	2.0	9.0
1050	301.0	1480.0
100128707	0.0	0.0
1048	0.0	402.0
1047	229.0	2464.0
1046	48.0	0.0
1045	5.0	185.0
100873369	3.0	0.0
100873368	1.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	0.0	0.0
1066	672.0	367.0
1063	46.0	237.0
1062	63.0	79.0
1061	1.0	0.0
1060	1678.0	1422.0
440253	132.0	42.0
1059	6760.0	6109.0
1058	1.0	33.0
1057	3.0	0.0
85379	8045.0	3610.0
114112	459.0	540.0
1056	200.0	62.0
85377	6687.0	1745.0
85378	2879.0	1337.0
128745	1.0	0.0
85376	4.0	44.0
440248	293.0	132.0
1075	2858.0	1703.0
1074	4.0	11.0
1073	3576.0	2030.0
1072	34943.0	32959.0
1071	41.0	34.0
440243	0.0	0.0
1070	697.0	1032.0
1069	4206.0	2746.0
1068	0.0	0.0
85369	1729.0	1228.0
85366	13.0	0.0
85364	1691.0	1382.0
85365	6464.0	3994.0
85363	1497.0	989.0
85360	997.0	606.0
1080	68.0	1600.0
85391	1.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	629.0	774.0
1087	2.0	12.0
1086	1.0	0.0
440279	24.0	3.0
