id	526b6171-5947-439d-b61f-4604309532e9	02599613-1566-40af-8606-a438c2b17061
285550	2352.0	1295.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	8.0	7.0
3640	5.0	8.0
3638	15286.0	5523.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1730.0	1419.0
100873313	0.0	0.0
3632	4853.0	3709.0
100873312	3.0	1.0
100873311	0.0	0.0
3633	1389.0	846.0
100873318	0.0	1.0
3635	3073.0	780.0
100873317	0.0	0.0
3636	7115.0	7749.0
100128771	35.0	46.0
100873316	1.0	2.0
100873315	0.0	0.0
100128766	0.0	4.0
3651	0.0	0.0
1	20.0	7.0
2	84277.0	29701.0
100873309	0.0	0.0
100873308	0.0	1.0
3	26.0	15.0
3641	3.0	0.0
100873303	0.0	0.0
9	677.0	188.0
3642	39.0	295.0
100873302	0.0	0.0
3643	3442.0	5607.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	71.0	48.0
100873307	0.0	0.0
3646	26818.0	21238.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	261.0	84.0
100873304	0.0	0.0
100873332	1.0	2.0
3660	3639.0	2630.0
100873331	0.0	0.0
3661	2760.0	2478.0
100873330	0.0	0.0
285577	4.0	82.0
3662	92.0	60.0
100128756	0.0	0.0
1000	534.0	45.0
3652	1769.0	1184.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	79.0	38.0
3654	8597.0	10365.0
100873334	0.0	0.0
3655	9655.0	8393.0
100873333	1.0	0.0
3656	557.0	452.0
100873339	0.0	0.0
3658	5016.0	5475.0
100873338	0.0	0.0
3659	1677.0	2093.0
100873337	0.0	0.0
3670	807.0	294.0
100873321	0.0	0.0
3671	4666.0	1777.0
100873320	0.0	0.0
3672	11332.0	3893.0
285588	1.0	1.0
3673	3868.0	1423.0
1011	0.0	0.0
1010	3.0	1.0
1008	797.0	199.0
1007	0.0	1.0
1006	72.0	8.0
1005	252.0	368.0
1004	297.0	140.0
1003	1323.0	975.0
1002	32.0	82.0
1001	4890.0	4361.0
3663	433.0	282.0
100873325	0.0	0.0
3664	11029.0	8643.0
100873324	0.0	0.0
3665	1295.0	1486.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	2230.0	4713.0
100873329	0.0	0.0
285590	3529.0	1973.0
100873328	0.0	0.0
3669	665.0	1809.0
100873327	0.0	0.0
1009	1678.0	1053.0
100873326	1.0	0.0
100873350	0.0	0.0
116729	0.0	1.0
728477	12.0	28.0
3680	3920.0	1658.0
3681	7.0	9.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1428.0	482.0
100873353	0.0	0.0
3683	537.0	478.0
100873352	0.0	0.0
128710	497.0	860.0
3684	471.0	260.0
100873351	0.0	0.0
285512	87.0	163.0
1022	1630.0	1494.0
285513	330.0	256.0
1021	1842.0	3846.0
1020	1100.0	726.0
440299	2.0	0.0
1019	5861.0	3931.0
128709	1.0	0.0
1018	20.0	48.0
1017	1797.0	1532.0
1016	6.0	0.0
1015	143.0	45.0
1014	6.0	1.0
1013	16.0	26.0
1012	583.0	613.0
116730	11.0	11.0
3674	74.0	12.0
100873358	0.0	0.0
3675	6554.0	6031.0
100873357	0.0	0.0
3676	520.0	227.0
100128731	13030.0	7354.0
100873356	0.0	0.0
3678	27130.0	8352.0
3679	2990.0	2571.0
100873359	0.0	0.0
728464	282.0	46.0
728463	84.0	23.0
100128725	0.0	0.0
3690	550.0	246.0
3691	4806.0	7130.0
100873343	0.0	0.0
3692	8680.0	5406.0
3693	11335.0	11661.0
285521	1903.0	1286.0
100873342	0.0	0.0
3694	1325.0	854.0
100873341	0.0	0.0
3695	113.0	87.0
100873340	0.0	0.0
100128723	3.0	1.0
1033	55.0	48.0
1032	344.0	154.0
285525	4.0	1.0
1031	586.0	290.0
285527	3106.0	4494.0
1030	707.0	271.0
728468	1.0	0.0
440288	210.0	123.0
1029	51.0	206.0
440295	166.0	210.0
1028	2234.0	741.0
1027	5190.0	4720.0
1026	9639.0	2583.0
1025	2790.0	2617.0
1024	1019.0	841.0
3685	9345.0	11086.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	360.0	346.0
100873345	0.0	0.0
3688	35819.0	19170.0
100873344	0.0	0.0
3689	1927.0	1569.0
100873349	1.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	21.0	21.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	77.0	55.0
100873375	0.0	0.0
100128710	2.0	0.0
285533	385.0	73.0
100873374	0.0	2.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	9.0	4.0
1043	987.0	369.0
1041	0.0	1.0
1040	2621.0	2422.0
1039	2217.0	1346.0
1038	1.0	0.0
1036	1816.0	1944.0
3696	2411.0	1568.0
3697	4.0	2.0
100873379	0.0	0.0
3698	7.0	5.0
100873378	0.0	1.0
3699	104.0	36.0
100873377	0.0	0.0
728486	5.0	2.0
100873361	0.0	0.0
105373869	9.0	4.0
100873360	0.0	0.0
285540	220.0	102.0
100128705	1.0	1.0
