id	f87cd150-16db-42e7-b78a-667735956ba3	e1bf71c6-b975-456e-8b1d-309c465788ce
285550	1001.0	1740.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	12.0	10.0
3640	21.0	4.0
3638	3690.0	5439.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1434.0	1410.0
100873313	0.0	0.0
3632	2468.0	3622.0
100873312	0.0	3.0
100873311	0.0	0.0
3633	1183.0	979.0
100873318	0.0	1.0
3635	4315.0	1406.0
100873317	0.0	0.0
3636	5387.0	11867.0
100128771	21.0	70.0
100873316	6.0	3.0
100873315	0.0	0.0
100128766	0.0	1.0
3651	0.0	21.0
1	10.0	4.0
2	37444.0	21796.0
100873309	0.0	0.0
100873308	0.0	0.0
3	11.0	8.0
3641	0.0	0.0
100873303	0.0	0.0
9	327.0	175.0
3642	24.0	751.0
100873302	0.0	0.0
3643	5755.0	5349.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	29.0	24.0
100873307	1.0	0.0
3646	14787.0	27125.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	71.0	80.0
100873304	0.0	0.0
100873332	0.0	1.0
3660	2965.0	2771.0
100873331	0.0	0.0
3661	3338.0	3397.0
100873330	0.0	1.0
285577	0.0	31.0
3662	200.0	22.0
100128756	0.0	0.0
1000	327.0	42.0
3652	1063.0	1255.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	47.0	18.0
3654	4992.0	11064.0
100873334	0.0	1.0
3655	20775.0	9693.0
100873333	0.0	0.0
3656	1485.0	327.0
100873339	0.0	0.0
3658	3660.0	4798.0
100873338	0.0	0.0
3659	4458.0	1978.0
100873337	0.0	0.0
3670	179.0	490.0
100873321	0.0	1.0
3671	1215.0	1909.0
100873320	0.0	0.0
3672	4152.0	7689.0
285588	2.0	0.0
3673	8346.0	1882.0
1011	0.0	0.0
1010	1.0	4.0
1008	195.0	119.0
1007	0.0	0.0
1006	75.0	20.0
1005	119.0	431.0
1004	66.0	137.0
1003	1706.0	879.0
1002	25.0	67.0
1001	3329.0	2327.0
3663	607.0	425.0
100873325	0.0	0.0
3664	22641.0	12165.0
100873324	0.0	0.0
3665	827.0	1763.0
100873323	2.0	0.0
100873322	0.0	0.0
3667	5242.0	3945.0
100873329	0.0	0.0
285590	1913.0	1762.0
100873328	0.0	0.0
3669	616.0	1672.0
100873327	0.0	0.0
1009	543.0	1815.0
100873326	0.0	1.0
100873350	0.0	0.0
116729	12.0	3.0
728477	5.0	23.0
3680	2337.0	1386.0
3681	1.0	3.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	864.0	918.0
100873353	0.0	0.0
3683	636.0	378.0
100873352	0.0	0.0
128710	605.0	722.0
3684	191.0	133.0
100873351	0.0	0.0
285512	89.0	218.0
1022	960.0	1991.0
285513	483.0	177.0
1021	2050.0	2083.0
1020	521.0	848.0
440299	0.0	0.0
1019	2637.0	5513.0
128709	0.0	0.0
1018	37.0	56.0
1017	1404.0	2012.0
1016	2.0	15.0
1015	104.0	36.0
1014	0.0	0.0
1013	2.0	9.0
1012	785.0	2107.0
116730	5.0	13.0
3674	37.0	26.0
100873358	0.0	0.0
3675	16260.0	3869.0
100873357	0.0	0.0
3676	237.0	176.0
100128731	5502.0	8779.0
100873356	0.0	0.0
3678	6857.0	3119.0
3679	1185.0	1635.0
100873359	0.0	0.0
728464	48.0	52.0
728463	36.0	28.0
100128725	0.0	1.0
3690	144.0	146.0
3691	26222.0	5182.0
100873343	0.0	1.0
3692	7876.0	7352.0
3693	7403.0	9218.0
285521	754.0	1639.0
100873342	0.0	0.0
3694	8072.0	1231.0
100873341	0.0	0.0
3695	191.0	53.0
100873340	0.0	1.0
100128723	0.0	0.0
1033	16.0	78.0
1032	278.0	172.0
285525	3.0	1.0
1031	265.0	566.0
285527	3964.0	4988.0
1030	1017.0	363.0
728468	0.0	0.0
440288	133.0	162.0
1029	28.0	125.0
440295	142.0	272.0
1028	1243.0	946.0
1027	2911.0	3677.0
1026	36683.0	4281.0
1025	3156.0	2725.0
1024	776.0	929.0
3685	6446.0	6531.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	296.0	262.0
100873345	0.0	0.0
3688	16784.0	18839.0
100873344	0.0	0.0
3689	1213.0	974.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	2.0
100873370	0.0	0.0
728498	15.0	16.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	22.0	58.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	36.0	51.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	15.0	6.0
1043	306.0	240.0
1041	1.0	1.0
1040	2120.0	2618.0
1039	1373.0	1556.0
1038	1.0	0.0
1036	181.0	2746.0
3696	3668.0	1473.0
3697	0.0	1.0
100873379	0.0	0.0
3698	16.0	5.0
100873378	4.0	2.0
3699	51.0	63.0
100873377	0.0	0.0
728486	12.0	2.0
100873361	0.0	0.0
105373869	2.0	3.0
100873360	0.0	0.0
285540	138.0	149.0
100128705	1.0	1.0
100873365	0.0	4.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	15.0	439.0
100873362	0.0	0.0
100128701	1.0	1.0
1054	2472.0	2712.0
285547	0.0	0.0
1053	3.0	3.0
285548	1.0	0.0
1052	3477.0	1400.0
1051	4910.0	1193.0
728489	8.0	8.0
1050	804.0	1112.0
100128707	0.0	0.0
1048	193.0	323.0
1047	744.0	3906.0
1046	0.0	0.0
1045	19.0	169.0
100873369	12.0	6.0
100873368	0.0	1.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	1.0	1.0
1066	1943.0	1343.0
1063	119.0	410.0
1062	84.0	179.0
1061	2.0	8.0
1060	2209.0	2649.0
440253	121.0	170.0
1059	5204.0	5379.0
1058	6.0	45.0
1057	5.0	13.0
85379	9499.0	5305.0
114112	562.0	889.0
1056	619.0	1288.0
85377	4655.0	2422.0
85378	3616.0	4175.0
128745	1.0	0.0
85376	5.0	9.0
440248	565.0	1032.0
1075	1566.0	981.0
1074	16.0	38.0
1073	2449.0	2009.0
1072	26850.0	42681.0
1071	11.0	28.0
440243	0.0	0.0
1070	779.0	1502.0
1069	2385.0	3068.0
1068	0.0	0.0
85369	1813.0	2540.0
85366	2.0	4.0
85364	1342.0	1818.0
85365	2129.0	4848.0
85363	1613.0	2098.0
85360	396.0	449.0
1080	631.0	216.0
85391	21.0	27.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	1.0
153733	339.0	1545.0
1087	204.0	25.0
1086	0.0	0.0
440279	5.0	4.0
