id	91710332-c9b9-4ebc-9834-45866dd3873b	cbe2a33b-fbcb-4532-bf7e-e3be0e51f0a5
285550	1433.0	1498.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	23.0	25.0
3640	0.0	80.0
3638	1118.0	795.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1739.0	2466.0
100873313	0.0	0.0
3632	2021.0	2013.0
100873312	1.0	4.0
100873311	0.0	0.0
3633	1127.0	1452.0
100873318	0.0	0.0
3635	302.0	11636.0
100873317	0.0	0.0
3636	7499.0	7245.0
100128771	41.0	32.0
100873316	6.0	3.0
100873315	0.0	0.0
100128766	4.0	0.0
3651	1.0	0.0
1	17.0	49.0
2	17406.0	16531.0
100873309	0.0	0.0
100873308	0.0	0.0
3	1.0	3.0
3641	1.0	0.0
100873303	0.0	0.0
9	197.0	162.0
3642	0.0	0.0
100873302	0.0	0.0
3643	5589.0	11409.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	1.0	0.0
100873307	0.0	0.0
3646	10513.0	21043.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	114.0	122.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	1363.0	2227.0
100873331	0.0	0.0
3661	2188.0	5138.0
100873330	0.0	0.0
285577	0.0	1.0
3662	209.0	10.0
100128756	0.0	0.0
1000	182.0	3050.0
3652	1446.0	1626.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	319.0	95.0
3654	3052.0	2544.0
100873334	0.0	1.0
3655	3138.0	4612.0
100873333	1.0	0.0
3656	404.0	803.0
100873339	0.0	0.0
3658	4999.0	3418.0
100873338	0.0	0.0
3659	979.0	1032.0
100873337	0.0	0.0
3670	4.0	0.0
100873321	0.0	0.0
3671	11438.0	13025.0
100873320	0.0	0.0
3672	5806.0	3088.0
285588	0.0	0.0
3673	574.0	3252.0
1011	0.0	0.0
1010	2.0	1.0
1008	0.0	2.0
1007	0.0	0.0
1006	5.0	77.0
1005	0.0	0.0
1004	359.0	6642.0
1003	4964.0	3764.0
1002	462.0	11912.0
1001	469.0	21445.0
3663	122.0	662.0
100873325	0.0	0.0
3664	6623.0	6002.0
100873324	0.0	0.0
3665	709.0	1136.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	10532.0	8432.0
100873329	0.0	0.0
285590	2143.0	5607.0
100873328	0.0	0.0
3669	907.0	1210.0
100873327	0.0	0.0
1009	255.0	10815.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	3.0	0.0
728477	16.0	15.0
3680	7135.0	8631.0
3681	1.0	11.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	500.0	419.0
100873353	0.0	0.0
3683	299.0	105.0
100873352	0.0	0.0
128710	675.0	843.0
3684	244.0	370.0
100873351	0.0	0.0
285512	47.0	123.0
1022	778.0	1541.0
285513	478.0	753.0
1021	1126.0	5143.0
1020	706.0	692.0
440299	0.0	1.0
1019	3225.0	4227.0
128709	1.0	0.0
1018	8.0	64.0
1017	834.0	1249.0
1016	0.0	0.0
1015	4.0	1.0
1014	9895.0	384.0
1013	1.0	33.0
1012	343.0	1776.0
116730	7.0	2.0
3674	149.0	183.0
100873358	0.0	0.0
3675	11663.0	33609.0
100873357	0.0	1.0
3676	144.0	196.0
100128731	4478.0	4951.0
100873356	0.0	0.0
3678	2348.0	2612.0
3679	397.0	4416.0
100873359	0.0	0.0
728464	64.0	487.0
728463	27.0	207.0
100128725	0.0	0.0
3690	7064.0	6252.0
3691	944.0	25400.0
100873343	1.0	0.0
3692	3570.0	4793.0
3693	4529.0	8920.0
285521	723.0	1082.0
100873342	0.0	0.0
3694	597.0	327.0
100873341	0.0	0.0
3695	178.0	436.0
100873340	1.0	0.0
100128723	1.0	0.0
1033	16.0	40.0
1032	192.0	252.0
285525	2.0	4.0
1031	351.0	868.0
285527	2491.0	2423.0
1030	60.0	595.0
728468	2.0	1.0
440288	89.0	96.0
1029	17.0	990.0
440295	60.0	175.0
1028	1029.0	1168.0
1027	2905.0	3701.0
1026	5375.0	30320.0
1025	2715.0	4579.0
1024	405.0	655.0
3685	12414.0	12152.0
100873347	1.0	0.0
100873346	0.0	1.0
3687	282.0	1147.0
100873345	0.0	0.0
3688	11398.0	15509.0
100873344	1.0	0.0
3689	1229.0	1066.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	0.0
100873370	0.0	0.0
728498	65.0	22.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	1.0	1.0
728492	79.0	41.0
100873375	0.0	0.0
100128710	1.0	0.0
285533	8.0	26.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	3.0	0.0
1043	133.0	88.0
1041	1.0	22.0
1040	4501.0	3555.0
1039	3109.0	2590.0
1038	3.0	1.0
1036	67.0	548.0
3696	2101.0	5921.0
3697	0.0	1.0
100873379	0.0	0.0
3698	10.0	9.0
100873378	2.0	1.0
3699	30.0	9.0
100873377	0.0	0.0
728486	4.0	2.0
100873361	0.0	0.0
105373869	1.0	4.0
100873360	0.0	1.0
285540	179.0	111.0
100128705	1.0	1.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	0.0
100873362	0.0	0.0
100128701	5.0	4.0
1054	2197.0	1510.0
285547	0.0	0.0
1053	2.0	6.0
285548	0.0	0.0
1052	3813.0	5390.0
1051	1930.0	2776.0
728489	18.0	28.0
1050	490.0	353.0
100128707	0.0	0.0
1048	0.0	0.0
1047	6.0	2.0
1046	0.0	0.0
1045	0.0	0.0
100873369	3.0	7.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	6.0	3.0
1066	469.0	2.0
1063	143.0	370.0
1062	42.0	47.0
1061	9.0	3.0
1060	1974.0	1678.0
440253	205.0	127.0
1059	6058.0	6326.0
1058	6.0	13.0
1057	1.0	0.0
85379	11144.0	11452.0
114112	638.0	488.0
1056	9.0	81.0
85377	3989.0	5152.0
85378	2751.0	3926.0
128745	0.0	0.0
85376	14.0	14.0
440248	194.0	355.0
1075	1788.0	6034.0
1074	13.0	24.0
1073	2087.0	1547.0
1072	20697.0	31266.0
1071	242.0	195.0
440243	0.0	0.0
1070	642.0	702.0
1069	8302.0	4346.0
1068	0.0	0.0
85369	1971.0	2296.0
85366	5.0	35.0
85364	1855.0	2282.0
85365	3028.0	2060.0
85363	2383.0	3029.0
85360	657.0	932.0
1080	15.0	15.0
85391	2.0	3.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	225.0	360.0
1087	0.0	0.0
1086	0.0	0.0
440279	198.0	57.0
1085	0.0	0.0
1084	2.0	0.0
440278	373.0	148.0
1082	0.0	1.0
403294	0.0	0.0
440275	3895.0	3804.0
1081	1.0	0.0
85397	3666.0	29.0
85395	303.0	424.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	1.0
440270	702.0	2575.0
1089	2.0	0.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	80.0	214.0
285598	486.0	1023.0
126133	1869.0	2273.0
128790	0.0	0.0
126129	62.0	707.0
126123	4.0	117.0
442862	0.0	0.0
126119	850.0	1106.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	1.0
442895	1.0	0.0
114131	0.0	0.0
442896	0.0	0.0
114132	124.0	11.0
442897	0.0	0.0
442898	0.0	4.0
114134	220.0	708.0
442899	0.0	0.0
100128790	0.0	0.0
128760	4.0	11.0
100128788	48.0	25.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	1.0
442890	0.0	0.0
442891	1.0	8.0
442892	1.0	0.0
128756	0.0	0.0
