id	c739af4b-e4b6-46c4-8131-a9fe926468c6	99946511-4d29-4d85-9789-6b326261eb0c
285550	2892.0	1564.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	47.0	7.0
3640	6.0	40.0
3638	2363.0	444.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2411.0	732.0
100873313	0.0	0.0
3632	2324.0	705.0
100873312	3.0	0.0
100873311	0.0	0.0
3633	1694.0	579.0
100873318	0.0	0.0
3635	1003.0	794.0
100873317	0.0	0.0
3636	10425.0	1765.0
100128771	43.0	81.0
100873316	3.0	0.0
100873315	0.0	0.0
100128766	1.0	4.0
3651	1.0	0.0
1	58.0	30.0
2	20363.0	18057.0
100873309	0.0	0.0
100873308	0.0	0.0
3	26.0	3.0
3641	0.0	0.0
100873303	0.0	0.0
9	308.0	34.0
3642	3.0	0.0
100873302	2.0	0.0
3643	3585.0	2532.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	20.0	0.0
100873307	0.0	0.0
3646	19980.0	12349.0
100873306	0.0	0.0
100873305	1.0	0.0
3647	144.0	30.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2172.0	509.0
100873331	0.0	0.0
3661	7170.0	8096.0
100873330	1.0	0.0
285577	0.0	0.0
3662	571.0	256.0
100128756	1.0	0.0
1000	191.0	4912.0
3652	1471.0	657.0
100873336	0.0	3.0
100873335	0.0	0.0
100128750	452.0	156.0
3654	3741.0	1021.0
100873334	0.0	0.0
3655	4622.0	972.0
100873333	0.0	0.0
3656	611.0	144.0
100873339	0.0	0.0
3658	4832.0	748.0
100873338	0.0	0.0
3659	2667.0	1658.0
100873337	1.0	0.0
3670	276.0	1.0
100873321	0.0	0.0
3671	15229.0	18845.0
100873320	0.0	0.0
3672	5208.0	812.0
285588	0.0	0.0
3673	1071.0	832.0
1011	0.0	0.0
1010	2.0	1.0
1008	1.0	0.0
1007	1.0	3.0
1006	6.0	0.0
1005	6.0	2.0
1004	420.0	983.0
1003	4207.0	562.0
1002	43.0	439.0
1001	321.0	2854.0
3663	389.0	445.0
100873325	0.0	0.0
3664	10848.0	1649.0
100873324	0.0	0.0
3665	1522.0	1445.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	9560.0	1054.0
100873329	0.0	0.0
285590	1573.0	328.0
100873328	0.0	0.0
3669	1956.0	1754.0
100873327	0.0	0.0
1009	870.0	196.0
100873326	1.0	0.0
100873350	0.0	0.0
116729	33.0	0.0
728477	24.0	0.0
3680	14376.0	6892.0
3681	7.0	2.0
100128733	2.0	0.0
100873354	1.0	0.0
3682	947.0	927.0
100873353	0.0	0.0
3683	1598.0	554.0
100873352	0.0	0.0
128710	686.0	242.0
3684	314.0	284.0
100873351	0.0	0.0
285512	244.0	12.0
1022	1766.0	859.0
285513	610.0	101.0
1021	1971.0	234.0
1020	946.0	900.0
440299	1.0	0.0
1019	4354.0	1467.0
128709	1.0	0.0
1018	78.0	5.0
1017	1665.0	226.0
1016	1.0	0.0
1015	8.0	0.0
1014	9818.0	24.0
1013	6.0	90.0
1012	385.0	224.0
116730	10.0	50.0
3674	949.0	144.0
100873358	0.0	0.0
3675	20611.0	29695.0
100873357	0.0	0.0
3676	542.0	32.0
100128731	9132.0	8024.0
100873356	0.0	0.0
3678	3061.0	625.0
3679	1808.0	2191.0
100873359	0.0	0.0
728464	94.0	0.0
728463	32.0	10.0
100128725	0.0	0.0
3690	3169.0	559.0
3691	2805.0	1749.0
100873343	4.0	0.0
3692	5736.0	8709.0
3693	5364.0	4058.0
285521	851.0	388.0
100873342	0.0	0.0
3694	4635.0	949.0
100873341	0.0	0.0
3695	363.0	7.0
100873340	2.0	0.0
100128723	1.0	0.0
1033	58.0	21.0
1032	435.0	341.0
285525	22.0	2.0
1031	931.0	1498.0
285527	4066.0	537.0
1030	174.0	77.0
728468	0.0	0.0
440288	147.0	20.0
1029	54.0	38.0
440295	336.0	10.0
1028	1452.0	633.0
1027	4658.0	1219.0
1026	38158.0	11283.0
1025	4560.0	4502.0
1024	823.0	176.0
3685	16069.0	3463.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	497.0	309.0
100873345	0.0	1.0
3688	14745.0	608.0
100873344	0.0	0.0
3689	2034.0	2011.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	0.0
100873370	1.0	0.0
728498	77.0	9.0
100873376	1.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	51.0	4.0
100873375	0.0	0.0
