id	c2e12b8b-e04b-4805-b157-b6148efb9f9d	b34c9e55-0455-46fd-8dad-3994e2c06fb2
285550	2316.0	1574.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	50.0	15.0
3640	3.0	23.0
3638	1631.0	1384.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1784.0	2529.0
100873313	0.0	0.0
3632	1995.0	1335.0
100873312	1.0	0.0
100873311	0.0	0.0
3633	1311.0	1146.0
100873318	0.0	0.0
3635	569.0	1470.0
100873317	0.0	0.0
3636	6368.0	5189.0
100128771	39.0	51.0
100873316	3.0	2.0
100873315	1.0	0.0
100128766	0.0	2.0
3651	0.0	0.0
1	55.0	105.0
2	22486.0	15172.0
100873309	0.0	0.0
100873308	0.0	0.0
3	3.0	5.0
3641	0.0	2.0
100873303	0.0	0.0
9	221.0	181.0
3642	35.0	22.0
100873302	0.0	0.0
3643	3144.0	7018.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	9.0	14.0
100873307	0.0	0.0
3646	14842.0	18133.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	108.0	59.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	1452.0	2716.0
100873331	0.0	0.0
3661	4491.0	8431.0
100873330	0.0	0.0
285577	0.0	0.0
3662	192.0	523.0
100128756	0.0	0.0
1000	269.0	204.0
3652	1137.0	704.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	485.0	60.0
3654	2966.0	2803.0
100873334	3.0	0.0
3655	3064.0	3748.0
100873333	0.0	0.0
3656	422.0	883.0
100873339	0.0	0.0
3658	4440.0	2290.0
100873338	0.0	0.0
3659	1913.0	5274.0
100873337	0.0	2.0
3670	133.0	3.0
100873321	0.0	0.0
3671	11017.0	21492.0
100873320	0.0	0.0
3672	4688.0	1355.0
285588	1.0	1.0
3673	580.0	7220.0
1011	0.0	0.0
1010	3.0	0.0
1008	7.0	4.0
1007	0.0	0.0
1006	29.0	7.0
1005	2.0	0.0
1004	493.0	12514.0
1003	4435.0	2284.0
1002	41.0	677.0
1001	343.0	13949.0
3663	170.0	1368.0
100873325	0.0	0.0
3664	8019.0	12284.0
100873324	0.0	0.0
3665	1122.0	2282.0
100873323	0.0	0.0
