id	cde6f32e-abc0-40a5-9e70-632efc716c67	3511dd71-059e-4e36-8aa3-1fdc5758f830
285550	2443.0	2029.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	16.0	20.0
3640	0.0	41.0
3638	1539.0	1743.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1322.0	2677.0
100873313	0.0	0.0
3632	2377.0	1467.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	988.0	1113.0
100873318	0.0	0.0
3635	356.0	879.0
100873317	0.0	0.0
3636	6498.0	5157.0
100128771	17.0	27.0
100873316	8.0	1.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	0.0	0.0
1	9.0	4.0
2	10207.0	8211.0
100873309	0.0	0.0
100873308	0.0	0.0
3	3.0	0.0
3641	0.0	0.0
100873303	0.0	0.0
9	159.0	155.0
3642	0.0	5.0
100873302	0.0	0.0
3643	5155.0	12187.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	1.0	0.0
100873307	0.0	0.0
3646	17649.0	23063.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	82.0	94.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	2303.0	2890.0
100873331	0.0	0.0
3661	2474.0	3772.0
100873330	0.0	0.0
285577	0.0	0.0
3662	40.0	228.0
100128756	0.0	0.0
1000	72.0	1131.0
3652	1700.0	1638.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	291.0	212.0
3654	4130.0	1328.0
100873334	0.0	0.0
3655	3428.0	3334.0
100873333	0.0	0.0
3656	452.0	1123.0
100873339	0.0	0.0
3658	4769.0	3644.0
100873338	0.0	0.0
3659	1072.0	4003.0
100873337	1.0	0.0
3670	24.0	0.0
100873321	0.0	0.0
3671	12068.0	7884.0
100873320	0.0	0.0
3672	2017.0	633.0
285588	0.0	0.0
3673	625.0	8621.0
1011	0.0	0.0
1010	2.0	2.0
1008	0.0	1.0
1007	0.0	0.0
1006	9.0	5.0
1005	1.0	3.0
1004	422.0	3396.0
1003	2531.0	1290.0
1002	16.0	2341.0
1001	328.0	9453.0
3663	139.0	751.0
100873325	0.0	0.0
3664	6966.0	4597.0
100873324	0.0	0.0
3665	798.0	810.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	8911.0	1884.0
100873329	0.0	0.0
285590	1900.0	2596.0
100873328	0.0	0.0
3669	2118.0	1280.0
100873327	0.0	0.0
1009	429.0	1183.0
100873326	0.0	1.0
100873350	0.0	0.0
116729	2.0	0.0
728477	14.0	2.0
3680	6718.0	14592.0
3681	0.0	13.0
