id	e9a2c588-ffce-42f6-9ba2-45a859fef61f	d5111826-39cb-46aa-bc9a-e00d6e8ede38
285550	2645.0	2173.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	66.0	28.0
3640	2.0	48.0
3638	1298.0	874.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1692.0	3211.0
100873313	1.0	0.0
3632	2114.0	1628.0
100873312	2.0	2.0
100873311	0.0	1.0
3633	1281.0	1434.0
100873318	0.0	0.0
3635	413.0	1292.0
100873317	0.0	0.0
3636	8940.0	6605.0
100128771	85.0	39.0
100873316	17.0	12.0
100873315	0.0	0.0
100128766	0.0	2.0
3651	1.0	1.0
1	9.0	40.0
2	21503.0	27362.0
100873309	0.0	0.0
100873308	0.0	0.0
3	10.0	13.0
3641	0.0	0.0
100873303	0.0	0.0
9	178.0	276.0
3642	2.0	0.0
100873302	0.0	0.0
3643	4150.0	8835.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	8.0	1.0
100873307	0.0	0.0
3646	13458.0	14210.0
100873306	0.0	0.0
100873305	1.0	0.0
3647	126.0	157.0
100873304	1.0	1.0
100873332	1.0	0.0
3660	2566.0	2259.0
100873331	0.0	0.0
3661	3200.0	7819.0
100873330	2.0	0.0
285577	0.0	0.0
3662	18.0	45.0
100128756	0.0	0.0
1000	86.0	1455.0
3652	1597.0	1196.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	650.0	181.0
3654	2987.0	1438.0
100873334	1.0	0.0
3655	3533.0	3682.0
100873333	1.0	0.0
3656	354.0	788.0
100873339	0.0	0.0
3658	5863.0	2646.0
100873338	0.0	0.0
3659	975.0	1774.0
100873337	0.0	2.0
3670	9.0	0.0
100873321	0.0	0.0
3671	17726.0	13311.0
100873320	0.0	0.0
3672	4766.0	2345.0
285588	0.0	0.0
3673	989.0	5251.0
1011	0.0	0.0
1010	1.0	1.0
1008	0.0	0.0
1007	0.0	0.0
1006	12.0	20.0
1005	0.0	1.0
1004	242.0	3432.0
1003	4803.0	5040.0
1002	27.0	205.0
1001	148.0	5804.0
3663	153.0	1619.0
100873325	0.0	0.0
3664	6038.0	3985.0
100873324	0.0	0.0
3665	519.0	1225.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	18586.0	1165.0
100873329	0.0	0.0
285590	1724.0	2079.0
100873328	0.0	0.0
3669	738.0	1256.0
100873327	0.0	0.0
1009	481.0	390.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	5.0	2.0
728477	35.0	8.0
3680	11770.0	15626.0
3681	2.0	5.0
100128733	2.0	1.0
100873354	0.0	0.0
3682	594.0	617.0
100873353	0.0	0.0
3683	442.0	444.0
100873352	0.0	0.0
128710	1052.0	953.0
3684	189.0	600.0
100873351	0.0	0.0
285512	342.0	331.0
1022	1099.0	1983.0
285513	431.0	361.0
1021	2164.0	376.0
1020	714.0	840.0
440299	0.0	1.0
1019	3284.0	3322.0
128709	0.0	0.0
1018	48.0	135.0
1017	794.0	959.0
1016	0.0	0.0
1015	11.0	3.0
1014	9229.0	251.0
1013	4.0	32.0
1012	372.0	1402.0
116730	8.0	15.0
3674	453.0	191.0
100873358	0.0	0.0
3675	18351.0	55769.0
100873357	0.0	0.0
3676	248.0	133.0
100128731	4966.0	7273.0
100873356	0.0	0.0
3678	1962.0	3028.0
3679	1144.0	3186.0
100873359	0.0	0.0
728464	67.0	4.0
728463	7.0	59.0
100128725	0.0	0.0
3690	2806.0	3791.0
3691	2478.0	12580.0
100873343	0.0	0.0
3692	4247.0	5030.0
3693	4138.0	8143.0
285521	872.0	1053.0
100873342	0.0	0.0
3694	1040.0	4158.0
100873341	1.0	0.0
3695	240.0	539.0
100873340	1.0	0.0
100128723	0.0	2.0
1033	10.0	31.0
1032	136.0	250.0
285525	8.0	8.0
1031	414.0	1177.0
285527	3736.0	2308.0
1030	48.0	390.0
728468	0.0	0.0
440288	134.0	67.0
1029	9.0	76.0
440295	282.0	352.0
1028	595.0	560.0
1027	6083.0	3180.0
1026	3065.0	20594.0
1025	2998.0	5593.0
1024	604.0	531.0
3685	9599.0	15166.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	185.0	1952.0
100873345	1.0	1.0
3688	9433.0	7216.0
100873344	1.0	1.0
3689	761.0	4509.0
100873349	0.0	1.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	1.0	1.0
100873370	0.0	0.0
728498	134.0	61.0
100873376	0.0	0.0
728493	1.0	0.0
100128711	0.0	0.0
728492	26.0	26.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	14.0	95.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	1.0	4.0
1043	202.0	747.0
1041	1.0	106.0
1040	4886.0	4413.0
1039	6295.0	3358.0
1038	1.0	1.0
1036	306.0	6280.0
3696	1882.0	2797.0
3697	3.0	3.0
100873379	0.0	0.0
3698	5.0	17.0
100873378	2.0	5.0
3699	185.0	115.0
100873377	0.0	0.0
728486	24.0	7.0
100873361	0.0	0.0
105373869	1.0	15.0
100873360	0.0	0.0
285540	318.0	177.0
100128705	2.0	2.0
100873365	1.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	0.0
100873362	1.0	0.0
100128701	3.0	4.0
1054	1693.0	1338.0
285547	0.0	0.0
1053	4.0	6.0
285548	0.0	1.0
1052	2592.0	5995.0
1051	2284.0	2877.0
728489	12.0	15.0
1050	450.0	191.0
100128707	0.0	0.0
1048	8.0	1.0
1047	15.0	85.0
1046	0.0	0.0
1045	0.0	0.0
100873369	4.0	10.0
100873368	1.0	0.0
100873367	0.0	0.0
100873366	1.0	0.0
105373877	7.0	3.0
1066	1811.0	848.0
1063	56.0	141.0
1062	41.0	57.0
1061	8.0	4.0
1060	2976.0	2191.0
440253	438.0	359.0
1059	4074.0	4906.0
1058	1.0	11.0
1057	1.0	1.0
85379	12290.0	8560.0
114112	911.0	531.0
1056	34.0	64.0
85377	2464.0	1539.0
85378	5056.0	7316.0
128745	2.0	0.0
85376	45.0	27.0
440248	645.0	587.0
1075	2300.0	15404.0
1074	11.0	17.0
1073	2098.0	1386.0
1072	18521.0	32341.0
1071	323.0	195.0
440243	0.0	1.0
1070	925.0	771.0
1069	4048.0	3568.0
1068	0.0	0.0
85369	2098.0	2005.0
85366	44.0	6.0
85364	1974.0	1735.0
85365	2764.0	2529.0
85363	1741.0	2046.0
85360	721.0	554.0
1080	52.0	44.0
85391	26.0	20.0
403296	0.0	1.0
403297	0.0	1.0
85390	0.0	0.0
403299	0.0	0.0
1088	4.0	1.0
153733	407.0	533.0
1087	1.0	0.0
1086	0.0	0.0
440279	511.0	117.0
1085	5.0	0.0
1084	3.0	2.0
440278	281.0	143.0
1082	0.0	0.0
403294	1.0	0.0
440275	4015.0	3044.0
1081	0.0	10.0
85397	1070.0	5.0
85395	310.0	440.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	1.0
403284	0.0	0.0
1092	0.0	0.0
440270	9386.0	16541.0
1089	4.0	5.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	96.0	6.0
285598	382.0	645.0
126133	1512.0	2149.0
128790	3.0	0.0
126129	59.0	96.0
126123	25.0	15.0
442862	0.0	0.0
126119	1045.0	1160.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	1.0	1.0
442895	1.0	0.0
114131	0.0	0.0
442896	1.0	0.0
114132	97.0	6.0
442897	0.0	0.0
442898	2.0	7.0
114134	284.0	792.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	15.0
100128788	155.0	68.0
100128787	0.0	0.0
440225	0.0	0.0
440224	2.0	12.0
442890	0.0	0.0
442891	13.0	7.0
442892	1.0	1.0
128756	0.0	0.0
100128782	455.0	312.0
100128781	5.0	4.0
403230	0.0	1.0
403231	0.0	0.0
403232	0.0	0.0
645560	0.0	4.0
403234	0.0	1.0
403235	2.0	1.0
403236	0.0	0.0
63982	177.0	63.0
102466616	0.0	0.0
126052	0.0	0.0
151009	110.0	122.0
403227	1.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	0.0	0.0
645572	0.0	0.0
645571	3.0	6.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	652.0	1319.0
107131122	1.0	2.0
138050	8146.0	10210.0
403219	0.0	0.0
151011	3890.0	3136.0
645587	9.0	1.0
165679	6.0	12.0
126037	21.0	31.0
114049	3889.0	5248.0
106481479	0.0	1.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	2.0	1.0
106481484	0.0	0.0
106481485	1.0	1.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	640.0	724.0
100033821	1.0	0.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	2774.0	2322.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	289.0	97.0
100033820	0.0	0.0
106481480	1.0	0.0
106481481	0.0	0.0
138065	10.0	160.0
645598	0.0	0.0
163007	2.0	7.0
114038	0.0	2.0
645591	1.0	0.0
106481495	0.0	0.0
114041	218.0	81.0
106481496	0.0	0.0
114042	11.0	2.0
106481493	0.0	0.0
114043	115.0	38.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	349.0	302.0
126017	692.0	484.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	2.0	2.0
85301	3079.0	2085.0
106481491	0.0	0.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	2.0	2.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	953.0	193.0
106481459	0.0	0.0
26994	7604.0	5828.0
106481457	10.0	16.0
26995	2455.0	2260.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	2.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2976.0	2387.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	6.0	6.0
106481460	1.0	8.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	2977.0	4014.0
106481467	0.0	0.0
106481464	0.0	5.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	1.0
106481471	0.0	0.0
85329	8.0	4.0
106481472	0.0	0.0
106481477	0.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	22.0	9.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	631.0	439.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	10.0	13.0
106481437	0.0	0.0
26974	654.0	342.0
153657	180.0	36.0
106481438	1.0	0.0
106481435	0.0	0.0
26973	1485.0	1851.0
165631	88.0	545.0
106481436	4.0	1.0
26978	4.0	7.0
126075	1293.0	1714.0
106481439	0.0	0.0
403250	0.0	0.0
126074	311.0	308.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	2667.0	3002.0
106481444	48.0	47.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	2796.0	3558.0
85354	0.0	0.0
85352	13.0	15.0
403241	3.0	0.0
344462	2.0	4.0
403244	0.0	0.0
403245	0.0	0.0
153642	792.0	331.0
153643	197.0	53.0
403247	0.0	0.0
403248	0.0	0.0
26985	3036.0	2253.0
106481448	0.0	0.0
26986	31389.0	43958.0
126069	141.0	72.0
106481449	0.0	0.0
126068	2013.0	1463.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1093.0	876.0
106481447	0.0	0.0
106481451	7.0	7.0
106481452	1.0	0.0
106481450	0.0	1.0
114088	57.0	24.0
106481455	0.0	0.0
85349	151.0	65.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	1.0
85347	0.0	0.0
26980	4.0	0.0
106481454	0.0	0.0
403238	1.0	0.0
85344	46.0	9.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	1.0	0.0
85340	0.0	0.0
100873394	2.0	0.0
100873393	3.0	7.0
100873392	2.0	4.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	0.0	1.0
