id	ae1ca60a-1b87-418f-94dd-e1b707352941	87eea66b-23f3-46ca-a0d6-7724b3d0da3d
285550	3158.0	2787.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	62.0	19.0
3640	4.0	6.0
3638	2042.0	1659.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	1.0
3631	2255.0	2269.0
100873313	0.0	0.0
3632	2981.0	2340.0
100873312	1.0	0.0
100873311	1.0	0.0
3633	1861.0	1427.0
100873318	0.0	0.0
3635	611.0	962.0
100873317	0.0	0.0
3636	11144.0	5326.0
100128771	70.0	68.0
100873316	6.0	2.0
100873315	0.0	0.0
100128766	1.0	4.0
3651	0.0	0.0
1	9.0	21.0
2	35824.0	26960.0
100873309	0.0	0.0
100873308	0.0	0.0
3	8.0	7.0
3641	0.0	0.0
100873303	0.0	0.0
9	240.0	368.0
3642	15.0	18.0
100873302	0.0	0.0
3643	11424.0	8488.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	1.0	1.0
100873307	0.0	0.0
3646	26108.0	24548.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	130.0	123.0
100873304	0.0	0.0
100873332	1.0	0.0
3660	3756.0	2254.0
100873331	0.0	0.0
3661	3582.0	4209.0
100873330	0.0	0.0
285577	0.0	0.0
3662	17.0	36.0
100128756	0.0	0.0
1000	3070.0	9671.0
3652	2652.0	2068.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	567.0	267.0
3654	4957.0	3915.0
100873334	0.0	0.0
3655	4721.0	5773.0
100873333	0.0	4.0
3656	610.0	1390.0
100873339	0.0	0.0
3658	9256.0	4658.0
100873338	0.0	0.0
3659	2004.0	1852.0
100873337	0.0	0.0
3670	26.0	0.0
100873321	0.0	0.0
3671	17890.0	14645.0
100873320	0.0	0.0
3672	6029.0	3168.0
285588	1.0	0.0
3673	1028.0	2075.0
1011	0.0	0.0
1010	0.0	1.0
1008	0.0	29.0
1007	0.0	0.0
1006	18.0	32.0
1005	1.0	0.0
1004	451.0	912.0
1003	8901.0	5061.0
1002	562.0	588.0
1001	2414.0	11006.0
3663	293.0	652.0
100873325	0.0	0.0
3664	8933.0	5874.0
100873324	0.0	0.0
3665	836.0	1103.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	18857.0	5241.0
100873329	0.0	0.0
285590	3843.0	2144.0
100873328	0.0	0.0
3669	3306.0	1373.0
100873327	0.0	0.0
1009	793.0	458.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	0.0	4.0
728477	14.0	10.0
3680	12151.0	7845.0
3681	4.0	33.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	876.0	1228.0
