id	6fd3a29c-c757-42ed-82ae-f597ae2a4f13	de85d8f5-101f-44b1-8d71-fb6949a709a5
285550	2187.0	1708.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	43.0	33.0
3640	0.0	1.0
3638	1380.0	1729.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1634.0	6818.0
100873313	0.0	0.0
3632	2213.0	2335.0
100873312	3.0	3.0
100873311	0.0	3.0
3633	951.0	2308.0
100873318	0.0	0.0
3635	131.0	877.0
100873317	0.0	0.0
3636	8258.0	8864.0
100128771	64.0	70.0
100873316	4.0	5.0
100873315	0.0	0.0
100128766	4.0	1.0
3651	0.0	0.0
1	6.0	40.0
2	8306.0	43353.0
100873309	0.0	0.0
100873308	0.0	0.0
3	4.0	10.0
3641	0.0	0.0
100873303	0.0	3.0
9	145.0	232.0
3642	9.0	7.0
100873302	0.0	0.0
3643	3594.0	14978.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	1.0	0.0
3645	4.0	3.0
100873307	0.0	0.0
3646	24624.0	23740.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	97.0	94.0
100873304	0.0	1.0
100873332	0.0	1.0
3660	2212.0	3240.0
100873331	0.0	0.0
3661	2621.0	5283.0
100873330	0.0	0.0
285577	0.0	0.0
3662	16.0	22.0
100128756	0.0	0.0
1000	86.0	1556.0
3652	1631.0	3035.0
100873336	0.0	0.0
100873335	0.0	1.0
100128750	594.0	443.0
3654	2632.0	1729.0
100873334	0.0	0.0
3655	1761.0	7275.0
100873333	0.0	0.0
3656	223.0	1146.0
100873339	0.0	0.0
3658	5325.0	6262.0
100873338	0.0	0.0
3659	821.0	1296.0
100873337	0.0	0.0
3670	16.0	0.0
100873321	0.0	0.0
3671	13680.0	12559.0
100873320	0.0	0.0
3672	3766.0	4747.0
285588	2.0	0.0
3673	404.0	2343.0
1011	0.0	0.0
1010	1.0	0.0
1008	1.0	0.0
1007	0.0	0.0
1006	1.0	30.0
1005	0.0	0.0
1004	171.0	912.0
1003	2556.0	5471.0
1002	84.0	378.0
