id	091c501b-2b8d-407e-84f2-dd56eaf100cc	15c369c7-2a50-4c53-b5ef-deab8fbf2a61
285550	2366.0	2078.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	33.0	24.0
3640	1.0	3.0
3638	1674.0	2884.0
100873319	1.0	0.0
100873314	1.0	0.0
3630	0.0	1.0
3631	1679.0	2429.0
100873313	0.0	0.0
3632	2178.0	2225.0
100873312	1.0	1.0
100873311	0.0	0.0
3633	1689.0	1263.0
100873318	0.0	0.0
3635	405.0	1232.0
100873317	0.0	0.0
3636	8369.0	8049.0
100128771	47.0	22.0
100873316	9.0	9.0
100873315	0.0	0.0
100128766	4.0	0.0
3651	0.0	0.0
1	21.0	36.0
2	20298.0	28797.0
100873309	0.0	0.0
100873308	0.0	0.0
3	5.0	10.0
3641	0.0	0.0
100873303	0.0	0.0
9	163.0	191.0
3642	1.0	0.0
100873302	1.0	0.0
3643	4202.0	4548.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	4.0	6.0
100873307	2.0	0.0
3646	14802.0	7861.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	151.0	41.0
100873304	0.0	0.0
100873332	0.0	1.0
3660	2143.0	2541.0
100873331	0.0	0.0
3661	3103.0	3135.0
100873330	0.0	0.0
285577	0.0	0.0
3662	35.0	13.0
100128756	0.0	0.0
1000	1467.0	8932.0
3652	1519.0	1427.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	656.0	448.0
3654	3652.0	4641.0
100873334	0.0	0.0
3655	2904.0	5572.0
100873333	1.0	0.0
3656	480.0	655.0
100873339	0.0	0.0
3658	6836.0	4928.0
100873338	0.0	0.0
3659	1434.0	1745.0
100873337	0.0	0.0
3670	4.0	0.0
100873321	0.0	0.0
3671	16635.0	19493.0
100873320	0.0	0.0
3672	4222.0	4936.0
285588	0.0	0.0
3673	789.0	468.0
1011	0.0	0.0
1010	1.0	0.0
1008	5.0	0.0
1007	0.0	0.0
1006	19.0	22.0
1005	0.0	0.0
1004	247.0	437.0
1003	3733.0	6021.0
1002	26.0	20.0
1001	496.0	437.0
3663	217.0	402.0
100873325	0.0	0.0
3664	6878.0	5216.0
100873324	0.0	0.0
3665	1026.0	1339.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	15253.0	6487.0
100873329	0.0	0.0
285590	2262.0	2273.0
100873328	0.0	1.0
3669	2556.0	441.0
100873327	0.0	0.0
1009	653.0	152.0
100873326	0.0	0.0
100873350	1.0	0.0
116729	7.0	7.0
728477	13.0	7.0
3680	10066.0	8099.0
3681	2.0	4.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	772.0	955.0
100873353	0.0	0.0
3683	349.0	807.0
100873352	0.0	0.0
128710	979.0	876.0
3684	219.0	417.0
100873351	0.0	0.0
285512	143.0	164.0
1022	1164.0	1002.0
285513	611.0	720.0
1021	1140.0	1734.0
1020	660.0	914.0
440299	1.0	2.0
1019	4432.0	3595.0
128709	2.0	2.0
1018	26.0	20.0
1017	1058.0	950.0
1016	0.0	0.0
