id	118c17b3-6e4c-482c-9956-ead43ccb1929	c86209ed-c881-4677-b688-87651503fec0
285550	2228.0	2355.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	69.0	155.0
3640	1.0	2.0
3638	2033.0	1078.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2167.0	1670.0
100873313	0.0	0.0
3632	1979.0	2454.0
100873312	2.0	1.0
100873311	0.0	0.0
3633	1550.0	1754.0
100873318	1.0	0.0
3635	793.0	407.0
100873317	0.0	0.0
3636	9153.0	9063.0
100128771	38.0	34.0
100873316	7.0	4.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	1.0	0.0
1	33.0	48.0
2	24550.0	22959.0
100873309	0.0	0.0
100873308	0.0	0.0
3	11.0	4.0
3641	0.0	0.0
100873303	0.0	0.0
9	281.0	114.0
3642	20.0	0.0
100873302	0.0	0.0
3643	3779.0	9080.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	4.0	0.0
100873307	0.0	0.0
3646	16516.0	20480.0
100873306	0.0	0.0
100873305	0.0	1.0
3647	147.0	94.0
100873304	0.0	0.0
100873332	2.0	0.0
3660	2665.0	2611.0
100873331	0.0	0.0
3661	4367.0	5093.0
100873330	0.0	0.0
285577	1.0	0.0
3662	201.0	2276.0
100128756	0.0	0.0
1000	433.0	3333.0
3652	1474.0	1109.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	449.0	371.0
3654	2991.0	1920.0
100873334	0.0	0.0
3655	3844.0	6360.0
100873333	0.0	0.0
3656	608.0	522.0
100873339	0.0	0.0
3658	5740.0	3713.0
100873338	0.0	0.0
3659	2026.0	849.0
100873337	0.0	0.0
3670	6.0	0.0
100873321	0.0	0.0
3671	12272.0	9752.0
100873320	0.0	0.0
3672	5310.0	2836.0
285588	0.0	0.0
3673	1012.0	1740.0
1011	0.0	0.0
1010	7.0	0.0
1008	6.0	0.0
1007	0.0	1.0
1006	31.0	15.0
1005	0.0	0.0
1004	391.0	512.0
1003	4164.0	4859.0
1002	54.0	246.0
1001	549.0	5481.0
3663	384.0	435.0
100873325	0.0	0.0
3664	7964.0	4782.0
100873324	0.0	0.0
3665	1092.0	1203.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	15187.0	9490.0
100873329	0.0	0.0
285590	1936.0	1701.0
100873328	0.0	0.0
3669	1440.0	965.0
100873327	0.0	0.0
1009	1166.0	132.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	7.0	3.0
728477	15.0	15.0
3680	10746.0	9147.0
3681	27.0	3.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	907.0	669.0
100873353	0.0	0.0
3683	1291.0	121.0
100873352	0.0	0.0
128710	652.0	676.0
3684	862.0	88.0
100873351	0.0	0.0
285512	176.0	190.0
1022	1350.0	1608.0
285513	673.0	229.0
1021	2199.0	699.0
1020	809.0	940.0
440299	0.0	0.0
1019	3785.0	3526.0
128709	0.0	0.0
1018	49.0	53.0
1017	1171.0	910.0
1016	0.0	0.0
1015	29.0	3.0
1014	9191.0	118.0
1013	1.0	18.0
1012	556.0	1620.0
116730	6.0	11.0
3674	548.0	196.0
100873358	0.0	0.0
3675	16688.0	34431.0
100873357	0.0	1.0
3676	463.0	128.0
100128731	6688.0	9091.0
100873356	0.0	0.0
3678	3084.0	2615.0
3679	1506.0	3211.0
100873359	0.0	0.0
728464	94.0	82.0
728463	25.0	8.0
100128725	0.0	0.0
3690	3496.0	1310.0
3691	2318.0	2541.0
100873343	0.0	0.0
3692	4491.0	5457.0
3693	5494.0	7838.0
285521	816.0	1065.0
100873342	0.0	0.0
3694	1558.0	869.0
100873341	0.0	0.0
3695	253.0	28.0
100873340	0.0	0.0
100128723	1.0	1.0
1033	38.0	100.0
1032	191.0	219.0
285525	12.0	3.0
1031	474.0	2915.0
285527	3653.0	1834.0
1030	108.0	304.0
728468	0.0	0.0
440288	141.0	129.0
1029	49.0	104.0
440295	230.0	160.0
1028	1597.0	517.0
1027	4902.0	4446.0
1026	17972.0	7432.0
1025	3714.0	4967.0
1024	658.0	769.0
3685	13592.0	6354.0
100873347	0.0	0.0
100873346	0.0	0.0
3687	1485.0	75.0
100873345	0.0	0.0
3688	14357.0	8589.0
100873344	0.0	0.0
3689	5480.0	405.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	0.0	1.0
100873370	0.0	0.0
728498	86.0	61.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	74.0	59.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	37.0	99.0
100873374	0.0	0.0
728495	0.0	0.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	7.0	1.0
1043	1326.0	57.0
1041	4.0	1.0
1040	6600.0	5136.0
1039	5989.0	3137.0
1038	0.0	0.0
1036	870.0	277.0
3696	2124.0	47.0
3697	7.0	1.0
100873379	0.0	0.0
3698	9.0	7.0
100873378	3.0	1.0
3699	113.0	35.0
100873377	0.0	0.0
728486	26.0	8.0
100873361	0.0	0.0
105373869	2.0	2.0
100873360	0.0	0.0
285540	365.0	265.0
100128705	3.0	3.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	1.0	2.0
100873362	0.0	0.0
100128701	0.0	0.0
1054	2319.0	1870.0
285547	0.0	0.0
1053	7.0	0.0
285548	0.0	0.0
1052	14063.0	29150.0
1051	6158.0	4202.0
728489	23.0	10.0
1050	939.0	2521.0
100128707	1.0	0.0
1048	36.0	0.0
1047	14.0	9.0
1046	0.0	1.0
1045	0.0	0.0
100873369	6.0	5.0
100873368	0.0	0.0
100873367	1.0	0.0
100873366	0.0	0.0
105373877	8.0	3.0
1066	852.0	41.0
1063	159.0	471.0
1062	95.0	122.0
1061	9.0	3.0
1060	2465.0	1235.0
440253	504.0	351.0
1059	4652.0	6155.0
1058	13.0	59.0
1057	0.0	0.0
85379	9352.0	3637.0
114112	845.0	494.0
1056	53.0	54.0
85377	2818.0	1289.0
85378	4949.0	3823.0
128745	0.0	0.0
85376	40.0	77.0
440248	727.0	481.0
1075	6426.0	9453.0
1074	15.0	5.0
1073	3272.0	3176.0
1072	23779.0	36420.0
1071	266.0	410.0
440243	0.0	0.0
1070	1323.0	803.0
1069	5303.0	4854.0
1068	0.0	0.0
85369	2597.0	2137.0
85366	15.0	46.0
85364	2444.0	3139.0
85365	3432.0	2889.0
85363	1997.0	2034.0
85360	976.0	754.0
1080	55.0	0.0
85391	23.0	6.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	0.0
153733	558.0	303.0
1087	1.0	0.0
1086	0.0	0.0
440279	233.0	43.0
1085	1.0	0.0
1084	7.0	0.0
440278	274.0	235.0
1082	0.0	0.0
403294	1.0	0.0
440275	4463.0	4478.0
1081	0.0	0.0
85397	6718.0	18.0
85395	409.0	645.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	7346.0	37901.0
1089	4.0	1.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	29.0	164.0
285598	628.0	249.0
126133	1464.0	1586.0
128790	1.0	1.0
126129	118.0	114.0
126123	11.0	8.0
442862	0.0	0.0
126119	1697.0	2736.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
