id	78b598c7-f670-4cbc-8c75-ac29bde3bcf4	c62a4599-e1a7-41af-9820-a961c6473f34
285550	2545.0	1498.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	27.0	21.0
3640	0.0	23.0
3638	1558.0	1251.0
100873319	0.0	0.0
100873314	1.0	0.0
3630	0.0	0.0
3631	1492.0	3232.0
100873313	0.0	0.0
3632	2264.0	1871.0
100873312	3.0	1.0
100873311	0.0	0.0
3633	1597.0	2092.0
100873318	0.0	0.0
3635	448.0	2117.0
100873317	0.0	0.0
3636	7417.0	6567.0
100128771	77.0	88.0
100873316	10.0	10.0
100873315	0.0	0.0
100128766	1.0	3.0
3651	2.0	2.0
1	15.0	26.0
2	19216.0	50308.0
100873309	0.0	0.0
100873308	0.0	0.0
3	15.0	12.0
3641	0.0	0.0
100873303	0.0	0.0
9	209.0	183.0
3642	1.0	0.0
100873302	1.0	0.0
3643	3821.0	10204.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	4.0	0.0
100873307	0.0	0.0
3646	15432.0	16312.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	109.0	92.0
100873304	0.0	0.0
100873332	2.0	1.0
3660	2789.0	2470.0
100873331	0.0	0.0
3661	3702.0	5058.0
100873330	0.0	0.0
285577	0.0	0.0
3662	104.0	42.0
100128756	0.0	0.0
1000	604.0	4649.0
3652	1273.0	1291.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	564.0	171.0
3654	3516.0	1885.0
100873334	0.0	2.0
3655	2294.0	7102.0
100873333	1.0	2.0
3656	446.0	1522.0
100873339	0.0	0.0
3658	4459.0	3549.0
100873338	0.0	0.0
3659	2363.0	2358.0
100873337	0.0	0.0
3670	13.0	0.0
100873321	0.0	0.0
3671	16769.0	6873.0
100873320	0.0	0.0
3672	3375.0	5394.0
285588	0.0	3.0
3673	626.0	6428.0
1011	0.0	0.0
1010	1.0	0.0
1008	2.0	1.0
1007	0.0	0.0
1006	10.0	59.0
1005	0.0	1.0
1004	848.0	3173.0
1003	3737.0	7551.0
1002	65.0	606.0
1001	424.0	14662.0
3663	408.0	1266.0
100873325	0.0	0.0
3664	6710.0	5189.0
100873324	0.0	1.0
3665	1035.0	1245.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	12150.0	2511.0
100873329	0.0	0.0
285590	1440.0	2020.0
100873328	0.0	0.0
3669	1224.0	1628.0
100873327	0.0	0.0
1009	712.0	5850.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	10.0	2.0
728477	13.0	9.0
3680	11430.0	21474.0
3681	7.0	3.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	769.0	489.0
100873353	0.0	0.0
3683	426.0	455.0
100873352	0.0	0.0
128710	831.0	710.0
3684	305.0	723.0
100873351	0.0	0.0
285512	186.0	115.0
1022	1511.0	1827.0
285513	337.0	536.0
1021	1450.0	497.0
1020	895.0	650.0
440299	0.0	0.0
1019	4299.0	4443.0
128709	1.0	1.0
1018	54.0	55.0
1017	912.0	1567.0
1016	0.0	0.0
1015	12.0	14.0
