id	a69e1384-d0ce-4ad7-b1b1-fe5c38aa6cb8	108c8f50-ed04-436c-b49e-dcdb1da0b827
285550	2647.0	2614.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	39.0	30.0
3640	3.0	13.0
3638	1720.0	1755.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1916.0	2922.0
100873313	0.0	0.0
3632	2419.0	1913.0
100873312	1.0	0.0
100873311	0.0	0.0
3633	2004.0	1928.0
100873318	0.0	0.0
3635	613.0	827.0
100873317	0.0	0.0
3636	8921.0	7259.0
100128771	39.0	43.0
100873316	4.0	1.0
100873315	0.0	0.0
100128766	1.0	1.0
3651	0.0	0.0
1	11.0	15.0
2	33196.0	29391.0
100873309	0.0	0.0
100873308	0.0	0.0
3	11.0	8.0
3641	0.0	0.0
100873303	0.0	0.0
9	219.0	85.0
3642	0.0	0.0
100873302	0.0	0.0
3643	5221.0	8659.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	8.0	3.0
100873307	0.0	0.0
3646	19511.0	23373.0
100873306	0.0	0.0
100873305	1.0	0.0
3647	133.0	103.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2513.0	2477.0
100873331	0.0	0.0
3661	3632.0	6645.0
100873330	0.0	0.0
285577	0.0	0.0
3662	171.0	144.0
100128756	0.0	0.0
1000	1905.0	7434.0
3652	1809.0	1167.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	574.0	337.0
3654	3686.0	1760.0
100873334	0.0	0.0
3655	3710.0	8384.0
100873333	0.0	0.0
3656	474.0	1179.0
100873339	0.0	0.0
3658	6494.0	2851.0
100873338	0.0	0.0
3659	2525.0	2997.0
100873337	0.0	0.0
3670	55.0	1.0
100873321	0.0	0.0
3671	17422.0	14457.0
100873320	0.0	0.0
3672	5754.0	2356.0
285588	0.0	0.0
3673	739.0	948.0
1011	0.0	0.0
1010	0.0	0.0
1008	0.0	0.0
1007	0.0	6.0
1006	13.0	15.0
1005	0.0	0.0
1004	384.0	3091.0
1003	5504.0	4188.0
1002	102.0	1039.0
1001	267.0	12996.0
3663	257.0	1063.0
100873325	0.0	0.0
3664	7141.0	5657.0
100873324	0.0	0.0
3665	746.0	930.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	14331.0	6248.0
100873329	0.0	0.0
285590	2250.0	1450.0
100873328	0.0	0.0
3669	1757.0	1063.0
