id	1ab1536f-cc6c-499c-b555-96c62327471d	1789335d-a47c-438f-baf3-09aa990bdf7e
285550	1391.0	1022.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	10.0	2.0
3640	18.0	132.0
3638	779.0	969.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	11.0	0.0
3631	659.0	1080.0
100873313	0.0	0.0
3632	665.0	599.0
100873312	0.0	0.0
100873311	0.0	0.0
3633	382.0	936.0
100873318	0.0	0.0
3635	1260.0	5110.0
100873317	0.0	0.0
3636	3922.0	3071.0
100128771	34.0	74.0
100873316	0.0	0.0
100873315	0.0	0.0
100128766	2.0	1.0
3651	0.0	1.0
1	25.0	13.0
2	23252.0	19572.0
100873309	0.0	0.0
100873308	0.0	0.0
3	6.0	18.0
3641	0.0	1.0
100873303	0.0	0.0
9	45.0	135.0
3642	2.0	35.0
100873302	0.0	0.0
3643	4044.0	1337.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	3.0	9.0
100873307	0.0	0.0
3646	8123.0	10863.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	19.0	46.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	1094.0	1617.0
100873331	0.0	0.0
3661	2748.0	5439.0
100873330	0.0	0.0
285577	0.0	0.0
3662	1467.0	1764.0
100128756	0.0	0.0
1000	66.0	106.0
3652	156.0	263.0
100873336	1.0	4.0
100873335	0.0	0.0
100128750	191.0	230.0
3654	3427.0	3428.0
100873334	0.0	0.0
3655	2227.0	1586.0
100873333	0.0	0.0
3656	250.0	239.0
100873339	0.0	0.0
3658	977.0	1277.0
100873338	0.0	0.0
3659	5638.0	5796.0
100873337	0.0	0.0
3670	1.0	1.0
100873321	0.0	0.0
3671	11068.0	8818.0
100873320	0.0	0.0
3672	1244.0	922.0
285588	0.0	0.0
3673	228.0	101.0
1011	0.0	0.0
1010	1.0	2.0
1008	1.0	0.0
1007	0.0	0.0
1006	26.0	8.0
1005	0.0	0.0
1004	224.0	143.0
1003	2317.0	1258.0
1002	81.0	24.0
1001	81.0	412.0
3663	572.0	1210.0
100873325	0.0	0.0
