id	124d34cd-1129-43bc-b7b4-36bdcd28165f	0cdb4fa4-1b90-4189-a29c-8a8a012f9029
285550	2726.0	2822.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	44.0	27.0
3640	1.0	97.0
3638	1225.0	1837.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1875.0	4906.0
100873313	0.0	0.0
3632	2059.0	2214.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	1473.0	2861.0
100873318	0.0	0.0
3635	551.0	1901.0
100873317	0.0	0.0
3636	9813.0	8827.0
100128771	95.0	61.0
100873316	12.0	14.0
100873315	0.0	0.0
100128766	0.0	3.0
3651	0.0	0.0
1	18.0	36.0
2	18872.0	26333.0
100873309	0.0	0.0
100873308	0.0	0.0
3	17.0	6.0
3641	0.0	0.0
100873303	1.0	0.0
9	212.0	263.0
3642	0.0	0.0
100873302	0.0	0.0
3643	4285.0	9943.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	5.0	4.0
100873307	2.0	0.0
3646	16312.0	28117.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	165.0	138.0
100873304	0.0	0.0
100873332	1.0	1.0
3660	2513.0	3221.0
100873331	0.0	0.0
3661	3515.0	8199.0
100873330	0.0	0.0
285577	1.0	0.0
3662	33.0	133.0
100128756	0.0	0.0
1000	938.0	16591.0
3652	1472.0	1947.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	443.0	223.0
3654	3234.0	2527.0
100873334	1.0	1.0
3655	3785.0	4557.0
100873333	0.0	1.0
3656	672.0	1555.0
100873339	0.0	0.0
3658	5991.0	4935.0
100873338	0.0	0.0
3659	1233.0	1746.0
100873337	0.0	0.0
3670	47.0	1.0
100873321	0.0	0.0
3671	18448.0	36563.0
100873320	0.0	0.0
3672	4168.0	1567.0
285588	1.0	2.0
3673	1066.0	13370.0
1011	0.0	0.0
1010	0.0	0.0
1008	4.0	4.0
1007	0.0	0.0
1006	17.0	24.0
1005	1.0	0.0
1004	244.0	9226.0
1003	4643.0	4036.0
1002	41.0	225.0
1001	308.0	40444.0
3663	262.0	1596.0
100873325	0.0	0.0
3664	6539.0	8359.0
100873324	0.0	0.0
3665	1336.0	2017.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	23294.0	1767.0
100873329	0.0	0.0
285590	2309.0	3218.0
100873328	0.0	0.0
3669	1322.0	2442.0
100873327	0.0	0.0
1009	684.0	6925.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	11.0	1.0
728477	19.0	11.0
3680	11210.0	18953.0
3681	4.0	234.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	573.0	815.0
100873353	0.0	0.0
3683	443.0	540.0
100873352	0.0	0.0
128710	1042.0	756.0
3684	218.0	868.0
100873351	0.0	0.0
285512	201.0	120.0
1022	1352.0	2998.0
285513	317.0	554.0
1021	1602.0	365.0
1020	695.0	1241.0
440299	0.0	0.0
1019	3733.0	6348.0
128709	0.0	0.0
1018	32.0	65.0
1017	1048.0	1776.0
1016	2.0	1.0
1015	14.0	17.0
1014	13672.0	21.0
1013	1.0	59.0
1012	297.0	665.0
116730	12.0	15.0
3674	569.0	167.0
100873358	0.0	0.0
