id	0751ff85-93a8-4d4b-a7bd-e1dc9abc07ea	68111fdd-653e-4185-ba74-6ae3cb221508
285550	1894.0	1460.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	21.0	18.0
3640	52.0	39.0
3638	1949.0	1730.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	4052.0	3772.0
100873313	0.0	0.0
3632	1821.0	1387.0
100873312	4.0	2.0
100873311	0.0	0.0
3633	2131.0	1696.0
100873318	0.0	0.0
3635	8554.0	5706.0
100873317	0.0	0.0
3636	8545.0	6009.0
100128771	39.0	35.0
100873316	14.0	11.0
100873315	0.0	0.0
100128766	0.0	0.0
3651	0.0	0.0
1	59.0	38.0
2	42684.0	39112.0
100873309	0.0	0.0
100873308	1.0	0.0
3	46.0	9.0
3641	0.0	1.0
100873303	0.0	0.0
9	234.0	254.0
3642	25.0	14.0
100873302	1.0	1.0
3643	4099.0	6050.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	18.0	12.0
100873307	0.0	0.0
3646	21170.0	18705.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	143.0	101.0
100873304	1.0	1.0
100873332	1.0	0.0
3660	4797.0	3386.0
100873331	0.0	0.0
3661	5267.0	4465.0
100873330	0.0	0.0
285577	1.0	0.0
3662	3788.0	1959.0
100128756	0.0	0.0
1000	381.0	1841.0
3652	1171.0	1215.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	397.0	157.0
3654	4488.0	3077.0
100873334	1.0	0.0
3655	5999.0	6177.0
100873333	0.0	0.0
3656	894.0	1284.0
100873339	0.0	0.0
3658	5823.0	4082.0
100873338	0.0	0.0
3659	7910.0	8220.0
100873337	0.0	0.0
3670	9.0	0.0
100873321	0.0	0.0
3671	12305.0	13654.0
100873320	0.0	0.0
3672	4594.0	3463.0
285588	1.0	1.0
3673	1312.0	13010.0
1011	0.0	0.0
1010	0.0	0.0
1008	0.0	0.0
1007	0.0	0.0
1006	15.0	27.0
1005	0.0	1.0
1004	437.0	4552.0
1003	4147.0	3936.0
1002	119.0	1474.0
1001	917.0	5678.0
3663	1668.0	1273.0
100873325	0.0	0.0
3664	3811.0	4339.0
100873324	0.0	0.0
3665	2513.0	1098.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	9122.0	2565.0
100873329	0.0	0.0
285590	1405.0	3125.0
100873328	0.0	0.0
3669	3358.0	1540.0
100873327	0.0	0.0
1009	2233.0	6044.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	2.0	0.0
728477	10.0	6.0
3680	10050.0	17910.0
3681	239.0	80.0
100128733	2.0	0.0
100873354	1.0	0.0
3682	1325.0	975.0
100873353	0.0	0.0
3683	10414.0	4980.0
100873352	0.0	0.0
128710	883.0	709.0
3684	2222.0	3194.0
100873351	0.0	0.0
285512	428.0	187.0
1022	1247.0	1875.0
285513	3409.0	1986.0
1021	2217.0	1340.0
1020	664.0	773.0
440299	0.0	0.0
1019	3667.0	4351.0
128709	0.0	0.0
1018	67.0	61.0
1017	1438.0	1629.0
1016	8.0	3.0
1015	44.0	26.0
1014	4321.0	231.0
1013	7.0	11.0
1012	216.0	894.0
116730	13.0	14.0
3674	312.0	73.0
100873358	0.0	0.0
3675	16417.0	70482.0
100873357	0.0	1.0
3676	4233.0	2048.0
100128731	7285.0	7053.0
100873356	0.0	0.0
3678	3840.0	4542.0
3679	1445.0	1589.0
100873359	0.0	0.0
728464	59.0	22.0
728463	22.0	72.0
100128725	0.0	0.0
3690	2281.0	4670.0
3691	3183.0	6589.0
100873343	1.0	0.0
3692	4600.0	5397.0
3693	3998.0	8286.0
285521	1234.0	1106.0
100873342	0.0	0.0
3694	973.0	3756.0
100873341	0.0	0.0
3695	1927.0	1577.0
100873340	2.0	0.0
100128723	0.0	0.0
1033	128.0	117.0
1032	591.0	498.0
285525	5.0	5.0
1031	906.0	672.0
285527	4987.0	3736.0
1030	161.0	1435.0
728468	0.0	1.0
440288	164.0	87.0
1029	89.0	237.0
440295	228.0	168.0
1028	486.0	369.0
1027	6836.0	4318.0
1026	3007.0	14463.0
1025	4322.0	4509.0
1024	830.0	782.0
3685	11200.0	23623.0
100873347	0.0	1.0
100873346	0.0	0.0
3687	5118.0	3045.0
100873345	1.0	0.0
3688	12440.0	19812.0
100873344	0.0	1.0
3689	15542.0	11091.0
100873349	0.0	0.0
100873348	0.0	0.0
100873372	0.0	0.0
100873371	8.0	5.0
100873370	0.0	0.0
728498	75.0	49.0
100873376	0.0	0.0
728493	0.0	0.0
100128711	0.0	0.0
728492	43.0	37.0
100873375	0.0	0.0
100128710	0.0	0.0
285533	98.0	129.0
100873374	0.0	0.0
728495	0.0	1.0
100873373	0.0	0.0
100128712	0.0	0.0
1044	36.0	23.0
1043	8688.0	4121.0
1041	2.0	13.0
1040	3237.0	4487.0
1039	4944.0	3473.0
1038	2.0	3.0
1036	431.0	283.0
3696	1345.0	2000.0
3697	30.0	11.0
100873379	0.0	0.0
3698	38.0	80.0
100873378	0.0	1.0
3699	99.0	24.0
100873377	0.0	0.0
728486	17.0	27.0
100873361	0.0	0.0
105373869	0.0	56.0
100873360	3.0	1.0
285540	257.0	145.0
100128705	0.0	2.0
100873365	0.0	0.0
100873364	0.0	0.0
728481	0.0	0.0
100873363	0.0	0.0
728484	0.0	4.0
100873362	0.0	0.0
100128701	3.0	2.0
1054	2840.0	1795.0
285547	1.0	0.0
1053	32.0	29.0
285548	4.0	9.0
1052	2198.0	1264.0
1051	2441.0	2278.0
728489	28.0	14.0
1050	1067.0	655.0
100128707	0.0	0.0
1048	0.0	1.0
1047	52.0	60.0
1046	0.0	2.0
1045	5.0	0.0
100873369	5.0	0.0
100873368	0.0	0.0
100873367	0.0	0.0
100873366	0.0	0.0
105373877	3.0	2.0
1066	430.0	407.0
1063	852.0	778.0
1062	417.0	319.0
1061	6.0	3.0
1060	2810.0	1583.0
440253	468.0	252.0
1059	4917.0	5809.0
1058	93.0	59.0
1057	1.0	1.0
85379	7905.0	6493.0
114112	492.0	443.0
1056	68.0	44.0
85377	2617.0	2505.0
85378	7689.0	5072.0
128745	0.0	0.0
85376	57.0	47.0
440248	723.0	540.0
1075	10061.0	29050.0
1074	13.0	7.0
1073	2331.0	1552.0
1072	33911.0	37099.0
1071	721.0	288.0
440243	1.0	0.0
1070	1040.0	768.0
1069	3137.0	3204.0
1068	0.0	0.0
85369	2864.0	2520.0
85366	25.0	17.0
85364	2540.0	2196.0
85365	2942.0	2896.0
85363	2293.0	2106.0
85360	730.0	557.0
1080	29.0	74.0
85391	15.0	1.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	1.0	12.0
153733	613.0	527.0
1087	1.0	0.0
1086	0.0	0.0
440279	209.0	73.0
1085	2.0	0.0
1084	30.0	18.0
440278	152.0	83.0
1082	1.0	1.0
403294	0.0	0.0
440275	4226.0	3509.0
1081	0.0	2.0
85397	938.0	33.0
85395	386.0	268.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	0.0
1097	0.0	0.0
1096	0.0	0.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	1.0	1.0
440270	3029.0	4135.0
1089	81.0	90.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	298.0	85.0
285598	695.0	654.0
126133	1921.0	1059.0
128790	0.0	0.0
126129	179.0	200.0
126123	4.0	5.0
442862	0.0	0.0
126119	802.0	457.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	2.0
114131	0.0	0.0
442896	0.0	0.0
114132	41.0	61.0
442897	0.0	0.0
442898	2.0	1.0
114134	438.0	807.0
442899	0.0	0.0
100128790	0.0	0.0
128760	5.0	5.0
100128788	97.0	39.0
100128787	1.0	0.0
440225	0.0	0.0
440224	0.0	1.0
442890	0.0	0.0
442891	7.0	9.0
442892	1.0	1.0
128756	0.0	0.0
100128782	421.0	207.0
100128781	6.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	1.0
403234	0.0	0.0
403235	0.0	0.0
403236	0.0	0.0
63982	59.0	34.0
102466616	0.0	0.0
126052	0.0	0.0
151009	102.0	75.0
403227	0.0	0.0
403228	0.0	0.0
138046	0.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	2.0
645572	0.0	0.0
645571	15.0	2.0
403223	1.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	656.0	529.0
107131122	0.0	1.0
138050	6962.0	9560.0
403219	0.0	0.0
151011	3684.0	3448.0
645587	10.0	7.0
165679	59.0	40.0
126037	42.0	30.0
