id	dc7826af-618a-4607-9cf2-f5b2f6f15406	17915009-ea55-4f1d-b745-c6724a0d0060
285550	3052.0	2867.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	59.0	28.0
3640	5.0	4.0
3638	2156.0	1932.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2060.0	2284.0
100873313	0.0	0.0
3632	3167.0	3164.0
100873312	2.0	0.0
100873311	0.0	0.0
3633	1709.0	1952.0
100873318	0.0	0.0
3635	499.0	728.0
100873317	0.0	0.0
3636	9927.0	8092.0
100128771	31.0	55.0
100873316	10.0	2.0
100873315	0.0	0.0
100128766	1.0	0.0
3651	0.0	0.0
1	18.0	24.0
2	23483.0	41166.0
100873309	0.0	0.0
100873308	0.0	0.0
3	5.0	5.0
3641	1.0	0.0
100873303	0.0	0.0
9	319.0	258.0
3642	1.0	0.0
100873302	0.0	0.0
3643	7629.0	22849.0
100128764	0.0	1.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	3.0	1.0
100873307	0.0	0.0
3646	19037.0	28113.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	151.0	72.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2701.0	2608.0
100873331	0.0	0.0
3661	3580.0	4275.0
100873330	0.0	0.0
285577	0.0	0.0
3662	30.0	772.0
100128756	0.0	0.0
1000	2007.0	8493.0
3652	2125.0	2042.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	797.0	629.0
3654	4480.0	3991.0
100873334	0.0	0.0
3655	6620.0	7808.0
100873333	0.0	0.0
3656	423.0	920.0
100873339	0.0	0.0
3658	7462.0	5728.0
100873338	0.0	0.0
3659	1178.0	1281.0
100873337	0.0	0.0
3670	9.0	1.0
100873321	0.0	0.0
3671	17332.0	12402.0
100873320	0.0	0.0
3672	6762.0	4227.0
285588	0.0	0.0
3673	1041.0	1974.0
1011	0.0	0.0
1010	1.0	0.0
1008	0.0	0.0
1007	0.0	0.0
1006	6.0	17.0
1005	0.0	0.0
1004	419.0	992.0
1003	5092.0	5221.0
1002	110.0	477.0
1001	1567.0	4789.0
3663	258.0	539.0
100873325	0.0	0.0
3664	7081.0	6870.0
100873324	0.0	0.0
3665	1024.0	669.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	22565.0	11979.0
100873329	0.0	0.0
285590	1550.0	2358.0
100873328	1.0	0.0
3669	2352.0	1910.0
100873327	0.0	0.0
1009	689.0	985.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	5.0
728477	23.0	13.0
3680	17790.0	18633.0
3681	0.0	7.0
100128733	0.0	0.0
100873354	1.0	0.0
3682	794.0	458.0
100873353	0.0	0.0
3683	722.0	297.0
100873352	0.0	0.0
128710	1079.0	762.0
3684	216.0	337.0
100873351	0.0	0.0
285512	104.0	125.0
1022	1617.0	1604.0
285513	633.0	844.0
1021	1644.0	1088.0
1020	815.0	942.0
440299	0.0	0.0
1019	5056.0	5953.0
128709	0.0	0.0
1018	32.0	41.0
1017	1312.0	1450.0
1016	0.0	0.0
1015	12.0	14.0
1014	12239.0	373.0
1013	4.0	8.0
1012	591.0	2007.0
116730	9.0	11.0
3674	433.0	247.0
100873358	0.0	0.0
3675	24234.0	40513.0
100873357	0.0	0.0
3676	261.0	155.0
100128731	6787.0	8821.0
100873356	0.0	0.0
3678	3486.0	4277.0
3679	1294.0	2027.0
100873359	0.0	0.0
728464	91.0	35.0
728463	9.0	27.0
100128725	0.0	0.0
3690	3468.0	2246.0
3691	2326.0	2669.0
100873343	0.0	1.0
3692	5782.0	7507.0
3693	4364.0	9303.0
285521	1446.0	1392.0
100873342	0.0	0.0
3694	1472.0	928.0
100873341	0.0	0.0
3695	210.0	107.0
100873340	0.0	0.0
100128723	0.0	0.0
1033	34.0	36.0
1032	182.0	204.0
285525	12.0	13.0
1031	489.0	1692.0
285527	3887.0	2471.0
1030	123.0	281.0
728468	0.0	0.0
