id	e32c7fe0-81ce-4cc8-880b-79d5cafa3dc1	73451252-7198-4187-93b0-16a76843c8c0
285550	1635.0	1880.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	28.0	22.0
3640	11.0	49.0
3638	1918.0	1225.0
100873319	1.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2673.0	2783.0
100873313	0.0	0.0
3632	1428.0	1416.0
100873312	3.0	0.0
100873311	1.0	0.0
3633	1400.0	1317.0
100873318	0.0	0.0
3635	3131.0	2766.0
100873317	0.0	0.0
3636	7121.0	6797.0
100128771	36.0	24.0
100873316	6.0	9.0
100873315	0.0	0.0
100128766	1.0	2.0
3651	0.0	0.0
1	28.0	49.0
2	26966.0	31166.0
100873309	0.0	0.0
100873308	0.0	0.0
3	11.0	13.0
3641	0.0	0.0
100873303	0.0	0.0
9	222.0	121.0
3642	21.0	10.0
100873302	1.0	3.0
3643	3026.0	7472.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	5.0	4.0
100873307	1.0	0.0
3646	12794.0	13713.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	95.0	87.0
100873304	1.0	2.0
100873332	1.0	3.0
3660	2576.0	2964.0
100873331	0.0	0.0
3661	3256.0	6916.0
100873330	0.0	0.0
285577	0.0	0.0
3662	2151.0	313.0
100128756	0.0	0.0
1000	630.0	1043.0
3652	1072.0	836.0
100873336	1.0	1.0
100873335	0.0	0.0
100128750	329.0	181.0
3654	3803.0	2148.0
100873334	0.0	0.0
3655	3460.0	5701.0
100873333	0.0	1.0
3656	455.0	963.0
100873339	0.0	0.0
3658	4873.0	2520.0
100873338	0.0	0.0
3659	4092.0	6695.0
100873337	0.0	0.0
3670	6.0	1.0
100873321	0.0	0.0
3671	10438.0	12333.0
100873320	0.0	0.0
3672	3948.0	3174.0
285588	0.0	0.0
3673	669.0	6159.0
1011	0.0	0.0
1010	1.0	2.0
1008	1.0	3.0
1007	0.0	0.0
1006	13.0	21.0
1005	1.0	0.0
1004	378.0	8012.0
1003	4199.0	4714.0
1002	109.0	515.0
1001	815.0	13058.0
3663	686.0	1430.0
100873325	0.0	0.0
3664	4076.0	5199.0
100873324	1.0	0.0
3665	1146.0	2017.0
100873323	1.0	0.0
100873322	1.0	0.0
3667	10526.0	1379.0
100873329	0.0	0.0
285590	1949.0	2717.0
100873328	0.0	0.0
3669	2078.0	1904.0
100873327	0.0	0.0
1009	1690.0	3470.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	1.0	1.0
728477	16.0	10.0
3680	8810.0	11465.0
3681	107.0	237.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	791.0	869.0
100873353	0.0	0.0
3683	3529.0	1999.0
100873352	1.0	0.0
128710	577.0	636.0
3684	1071.0	1777.0
100873351	0.0	0.0
285512	186.0	218.0
1022	912.0	1554.0
285513	1519.0	1009.0
1021	1290.0	660.0
1020	658.0	1037.0
440299	0.0	0.0
1019	2802.0	2638.0
