id	5570e579-2b63-4083-9465-3213cbf8af4c	70129edf-3380-48eb-8a5c-1230a92ec6c9
285550	2108.0	2117.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	46.0	24.0
3640	2.0	5.0
3638	2149.0	1488.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	1860.0	3118.0
100873313	0.0	0.0
3632	1835.0	1818.0
100873312	1.0	1.0
100873311	0.0	0.0
3633	1368.0	1603.0
100873318	0.0	0.0
3635	573.0	1084.0
100873317	0.0	0.0
3636	7157.0	5411.0
100128771	48.0	35.0
100873316	4.0	5.0
100873315	0.0	0.0
100128766	1.0	2.0
3651	0.0	0.0
1	15.0	34.0
2	18719.0	42261.0
100873309	0.0	0.0
100873308	0.0	0.0
3	6.0	3.0
3641	0.0	0.0
100873303	0.0	0.0
9	204.0	239.0
3642	1.0	2.0
100873302	1.0	0.0
3643	4808.0	9106.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	4.0	1.0
100873307	0.0	0.0
3646	17791.0	23159.0
100873306	0.0	0.0
100873305	0.0	0.0
3647	149.0	128.0
100873304	0.0	0.0
100873332	0.0	0.0
3660	2464.0	3334.0
100873331	0.0	0.0
3661	2667.0	4828.0
100873330	0.0	3.0
285577	1.0	0.0
3662	94.0	33.0
100128756	0.0	0.0
1000	241.0	9700.0
3652	1648.0	1327.0
100873336	1.0	0.0
100873335	0.0	0.0
100128750	250.0	206.0
3654	2728.0	1176.0
100873334	0.0	0.0
3655	3474.0	5840.0
100873333	0.0	0.0
3656	472.0	793.0
100873339	0.0	0.0
3658	6777.0	3720.0
100873338	0.0	0.0
3659	3000.0	2500.0
100873337	0.0	1.0
3670	72.0	0.0
100873321	0.0	0.0
3671	14635.0	15763.0
100873320	0.0	0.0
3672	5371.0	3016.0
285588	0.0	2.0
3673	897.0	3170.0
1011	0.0	0.0
1010	1.0	0.0
1008	5.0	1.0
1007	0.0	0.0
1006	8.0	9.0
1005	0.0	0.0
1004	273.0	954.0
1003	3550.0	5219.0
1002	20.0	964.0
1001	191.0	10649.0
3663	221.0	1418.0
100873325	0.0	0.0
3664	8868.0	5148.0
100873324	0.0	0.0
3665	656.0	1062.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	15483.0	3459.0
100873329	0.0	0.0
285590	1855.0	1944.0
100873328	0.0	0.0
3669	1430.0	851.0
100873327	0.0	0.0
1009	1334.0	1155.0
100873326	0.0	0.0
100873350	0.0	1.0
116729	7.0	0.0
728477	15.0	13.0
3680	10938.0	21094.0
3681	3.0	13.0
100128733	1.0	0.0
100873354	0.0	0.0
3682	713.0	516.0
100873353	0.0	0.0
3683	757.0	625.0
100873352	0.0	1.0
128710	563.0	852.0
3684	361.0	1485.0
100873351	0.0	0.0
285512	132.0	144.0
1022	1314.0	2341.0
285513	781.0	734.0
1021	1903.0	651.0
1020	505.0	837.0
440299	0.0	0.0
1019	3670.0	4933.0
128709	0.0	1.0
1018	10.0	29.0
1017	1103.0	1146.0
1016	2.0	0.0
1015	6.0	17.0
1014	7198.0	16.0
1013	2.0	54.0
1012	443.0	1035.0
116730	5.0	23.0
