id	ffb8427a-d1a3-4ae6-a2e0-424929197afb	4869e2a4-f182-41f1-8aed-52b5dd3b5c00
285550	1430.0	1059.0
100873310	0.0	0.0
100128777	0.0	0.0
285555	19.0	10.0
3640	41.0	50.0
3638	3047.0	1261.0
100873319	0.0	0.0
100873314	0.0	0.0
3630	0.0	0.0
3631	2523.0	2265.0
100873313	0.0	0.0
3632	1263.0	949.0
100873312	1.0	0.0
100873311	0.0	0.0
3633	1699.0	1228.0
100873318	0.0	0.0
3635	6533.0	2583.0
100873317	0.0	0.0
3636	6452.0	4237.0
100128771	72.0	21.0
100873316	7.0	0.0
100873315	0.0	0.0
100128766	2.0	1.0
3651	0.0	1.0
1	27.0	32.0
2	33813.0	21818.0
100873309	0.0	0.0
100873308	0.0	0.0
3	29.0	10.0
3641	0.0	0.0
100873303	0.0	0.0
9	253.0	118.0
3642	56.0	7.0
100873302	0.0	0.0
3643	3547.0	6401.0
100128764	0.0	0.0
100873301	0.0	0.0
100873300	0.0	0.0
3645	19.0	4.0
100873307	0.0	0.0
3646	13377.0	10687.0
100873306	1.0	0.0
100873305	0.0	0.0
3647	92.0	54.0
100873304	2.0	0.0
100873332	0.0	0.0
3660	3333.0	2367.0
100873331	0.0	0.0
3661	3305.0	4368.0
100873330	0.0	0.0
285577	2.0	0.0
3662	1748.0	783.0
100128756	0.0	0.0
1000	290.0	196.0
3652	1099.0	704.0
100873336	0.0	0.0
100873335	0.0	0.0
100128750	287.0	70.0
3654	4256.0	2665.0
100873334	0.0	0.0
3655	3539.0	6069.0
100873333	1.0	0.0
3656	508.0	791.0
100873339	1.0	0.0
3658	4483.0	2073.0
100873338	0.0	0.0
3659	7660.0	11765.0
100873337	0.0	1.0
3670	0.0	0.0
100873321	0.0	0.0
3671	10396.0	7881.0
100873320	0.0	0.0
3672	2568.0	1865.0
285588	1.0	0.0
3673	874.0	8013.0
1011	0.0	0.0
1010	2.0	0.0
1008	0.0	0.0
1007	0.0	1.0
1006	6.0	9.0
1005	0.0	0.0
1004	400.0	3678.0
1003	3049.0	2095.0
1002	31.0	150.0
1001	807.0	4786.0
3663	1085.0	1150.0
100873325	0.0	0.0
3664	3841.0	4871.0
100873324	0.0	0.0
3665	1248.0	1582.0
100873323	0.0	0.0
100873322	0.0	0.0
3667	7157.0	834.0
100873329	0.0	0.0
285590	1171.0	1587.0
100873328	0.0	0.0
3669	2445.0	2447.0
100873327	0.0	0.0
1009	1198.0	2457.0
100873326	0.0	0.0
100873350	0.0	0.0
116729	5.0	2.0
728477	10.0	5.0
3680	8476.0	11295.0
3681	77.0	103.0
100128733	0.0	0.0
100873354	0.0	0.0
3682	1267.0	1956.0
100873353	0.0	0.0
3683	7125.0	3448.0
100873352	0.0	0.0
128710	827.0	506.0
3684	2057.0	1049.0
100873351	0.0	0.0
285512	135.0	42.0
1022	1023.0	1275.0
285513	2631.0	1109.0
1021	1675.0	589.0
1020	638.0	655.0
440299	0.0	0.0
1019	3046.0	3366.0
128709	0.0	0.0
1018	35.0	24.0
